"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.879353700E-2,9.453800321E-2,8.344700187E-2,2.933700010E-2
9.377445800E-2,8.871799707E-2,5.411599949E-2,2.678900026E-2
9.875530600E-2,8.431799710E-2,3.039599955E-2,2.449600026E-2
1.037362170E-1,8.073399961E-2,1.199399959E-2,2.310799994E-2
1.087169110E-1,7.690999657E-2,-2.405999927E-3,2.270000055E-2
1.136978320E-1,7.263699919E-2,-1.290600002E-2,2.697099932E-2
1.186787310E-1,6.736700237E-2,-2.200799994E-2,3.696300089E-2
1.236595800E-1,6.046900153E-2,-2.903399989E-2,5.319400132E-2
1.286402720E-1,5.220599845E-2,-3.491099924E-2,7.243400067E-2
1.336211060E-1,4.291399941E-2,-3.948500007E-2,8.872099966E-2
1.386020290E-1,3.381999955E-2,-4.244099930E-2,1.000270024E-1
1.435829470E-1,2.514100075E-2,-4.308300093E-2,1.060699970E-1
1.485636410E-1,1.870799996E-2,-4.276699945E-2,1.089890003E-1
1.535445630E-1,1.515800040E-2,-4.347100109E-2,1.095369980E-1
1.585253870E-1,1.423299965E-2,-4.607700184E-2,1.077399999E-1
1.635060790E-1,1.438700035E-2,-4.950200021E-2,1.011959985E-1
1.684870000E-1,1.342500001E-2,-4.892300069E-2,9.270499647E-2
1.734679040E-1,1.584699936E-2,-5.663299933E-2,8.029299974E-2
1.784487520E-1,2.053100057E-2,-6.414099783E-2,6.544700265E-2
1.834294450E-1,2.153199911E-2,-6.631600112E-2,5.082599819E-2
1.884103660E-1,2.527000010E-2,-7.099299878E-2,3.765999898E-2
1.933912140E-1,2.889899909E-2,-7.313799858E-2,2.559500001E-2
1.983721350E-1,2.841800079E-2,-7.166299969E-2,1.594300009E-2
2.033528140E-1,2.675700001E-2,-7.054600120E-2,9.433999658E-3
2.083337350E-1,2.159699984E-2,-6.926999986E-2,6.717999931E-3
2.133145840E-1,2.002299950E-2,-7.118599862E-2,8.440000005E-3
2.182955000E-1,1.703999937E-2,-6.639800221E-2,1.785999909E-2
2.232761940E-1,1.356799994E-2,-6.218399853E-2,3.235699981E-2
2.282570380E-1,1.379099954E-2,-6.385699660E-2,4.229300097E-2
2.332379420E-1,1.505499985E-2,-6.717500091E-2,5.560600013E-2
2.382186370E-1,1.817299984E-2,-7.289399952E-2,7.359799743E-2
2.431995390E-1,2.181700058E-2,-8.072499931E-2,9.367500246E-2
2.481803870E-1,2.351900004E-2,-8.813899755E-2,1.143319979E-1
2.531613850E-1,2.219899930E-2,-9.260199964E-2,1.339229941E-1
2.581419970E-1,2.427100018E-2,-9.540499747E-2,1.504890025E-1
2.631229180E-1,3.039800003E-2,-9.847799689E-2,1.601669937E-1
2.681037380E-1,3.976900131E-2,-1.049590036E-1,1.575029939E-1
2.730846590E-1,4.764899984E-2,-1.081010029E-1,1.421539932E-1
2.780653530E-1,5.542099848E-2,-1.081240028E-1,1.149350032E-1
2.830462390E-1,6.380899996E-2,-1.009280011E-1,8.626700193E-2
2.880270870E-1,7.179699838E-2,-9.363900125E-2,5.637099966E-2
2.930077800E-1,7.920899987E-2,-8.748900145E-2,3.207299858E-2
2.979886960E-1,8.054099977E-2,-7.976000011E-2,1.493200008E-2
3.029695440E-1,7.790400088E-2,-7.497999817E-2,1.092000050E-3
3.079502360E-1,7.030399889E-2,-7.402999699E-2,-1.144700032E-2
3.129311580E-1,4.494300112E-2,-1.301559955E-1,-4.714599997E-2
3.179120810E-1,-7.778999861E-3,-1.347710043E-1,-5.980800092E-2
3.228930040E-1,-2.301399969E-2,-9.236600250E-2,-3.201099858E-2
3.278738380E-1,1.223300025E-2,-3.986399993E-2,3.331900015E-2
3.328545300E-1,4.234800115E-2,-4.118000157E-3,9.152299911E-2
3.378354510E-1,4.013499990E-2,1.190000027E-2,1.251869947E-1
3.428162990E-1,1.742300019E-2,1.207400020E-2,1.371169984E-1
3.477969910E-1,-1.319499966E-2,-1.855899952E-2,1.234200001E-1
3.527778360E-1,-4.784100130E-2,-4.064099863E-2,9.707599878E-2
3.577587690E-1,-5.340399966E-2,-3.909000009E-2,8.059699833E-2
3.627394630E-1,-3.640300035E-2,-2.348200046E-2,6.932999939E-2
3.677203840E-1,-1.169199962E-2,-2.057299949E-2,4.429100081E-2
3.727012320E-1,5.712999962E-3,-2.392799966E-2,5.489999894E-3
3.776821530E-1,1.006099954E-2,-1.671599969E-2,-3.895900026E-2
3.826628480E-1,7.857000455E-3,-4.817999899E-3,-8.403199911E-2
3.876437830E-1,3.539999947E-3,1.357499976E-2,-1.277509928E-1
3.926246310E-1,-3.589999978E-4,3.128999844E-2,-1.716649979E-1
3.976053230E-1,-7.821000181E-3,4.558999836E-2,-2.184150070E-1
4.025862440E-1,-1.372699998E-2,4.317700118E-2,-2.799499929E-1
4.075671670E-1,-3.683900088E-2,4.488399997E-2,-2.999359965E-1
4.125480160E-1,-5.660500005E-2,5.052800104E-2,-3.099879920E-1
4.175289270E-1,-8.065400273E-2,6.462000310E-2,-3.034070134E-1
4.225096210E-1,-1.139400005E-1,8.214899898E-2,-2.828840017E-1
4.274905420E-1,-1.555079967E-1,1.019200012E-1,-2.513349950E-1
4.324713860E-1,-2.044679970E-1,1.157570034E-1,-2.020259947E-1
4.374520790E-1,-2.545540035E-1,1.213999987E-1,-1.437429935E-1
4.424330000E-1,-3.040080070E-1,1.182530001E-1,-8.837000281E-2
4.474139080E-1,-3.458060026E-1,1.068599969E-1,-4.419999942E-2
4.523947560E-1,-3.805209994E-1,9.793800116E-2,-9.438999929E-3
4.573754480E-1,-4.049730003E-1,9.609899670E-2,2.749899961E-2
4.623563500E-1,-3.963789940E-1,1.531739980E-1,9.791000187E-2
4.673371980E-1,-3.484509885E-1,1.575269997E-1,1.403210014E-1
4.723181200E-1,-3.234530091E-1,1.135720015E-1,1.344749928E-1
4.772988330E-1,-3.397819996E-1,5.663499981E-2,7.035899907E-2
4.822797540E-1,-3.420549929E-1,1.721600071E-2,-1.172999968E-3
4.872606020E-1,-3.061420023E-1,-3.273000009E-3,-5.961100012E-2
4.922412750E-1,-2.534680068E-1,-9.897000156E-3,-1.031709984E-1
4.972221970E-1,-1.932619959E-1,1.053300034E-2,-1.279940009E-1
5.022031150E-1,-1.251129955E-1,2.585599944E-2,-1.408929974E-1
5.071839630E-1,-9.613200277E-2,3.198499978E-2,-1.664090008E-1
5.121646550E-1,-1.092109978E-1,3.229200095E-2,-1.991440058E-1
5.171455760E-1,-1.371040046E-1,3.649599850E-2,-2.139669955E-1
5.221264990E-1,-1.640799940E-1,5.058500171E-2,-1.987549961E-1
5.271073470E-1,-1.909590065E-1,6.198399886E-2,-1.625799984E-1
5.320880400E-1,-2.192299962E-1,6.886799634E-2,-1.177420020E-1
5.370689610E-1,-2.562119961E-1,7.048100233E-2,-6.942100078E-2
5.420498090E-1,-2.937150002E-1,6.774900109E-2,-2.093300037E-2
5.470307300E-1,-3.119690120E-1,6.039199978E-2,2.813700028E-2
5.520114240E-1,-3.114410043E-1,6.216799840E-2,8.890800178E-2
5.569923460E-1,-2.818419933E-1,5.311900005E-2,1.114130020E-1
5.619731940E-1,-2.519060075E-1,3.451399878E-2,1.239899993E-1
5.669541150E-1,-2.183160037E-1,1.298999973E-2,1.166210026E-1
5.719348090E-1,-1.697999984E-1,-1.284599956E-2,9.521199763E-2
5.769157300E-1,-1.140689999E-1,-4.092299938E-2,6.620900333E-2
5.818965780E-1,-5.562900007E-2,-6.868299842E-2,1.363900024E-2
5.868774990E-1,1.155200042E-2,-9.797699749E-2,-6.442499906E-2
5.918581790E-1,7.927999645E-2,-1.054529995E-1,-1.204919964E-1
5.968390230E-1,1.281629950E-1,-8.978900313E-2,-1.558980048E-1
6.018199460E-1,1.605010033E-1,-6.876700372E-2,-1.838389933E-1
6.068006400E-1,1.859900057E-1,-5.431000143E-2,-2.118110061E-1
6.117815610E-1,1.961649954E-1,-4.689500108E-2,-2.459349930E-1
6.167624660E-1,1.976650059E-1,-4.249599949E-2,-2.759160101E-1
6.217433140E-1,1.894800067E-1,-4.089200124E-2,-2.999649942E-1
6.267240060E-1,1.745679975E-1,-3.737400100E-2,-3.100740016E-1
6.317049320E-1,1.501889974E-1,-3.200700134E-2,-3.137559891E-1
6.366857800E-1,1.199600026E-1,-2.471200004E-2,-3.166379929E-1
6.416667010E-1,9.028500319E-2,-1.606599987E-2,-3.205389977E-1
6.466476190E-1,5.856499821E-2,-6.213000044E-3,-3.214899898E-1
6.516285430E-1,1.639799960E-2,3.712000092E-3,-3.233999908E-1
6.566092230E-1,-2.135699987E-2,3.479999956E-3,-3.244799972E-1
6.615901440E-1,-5.156200007E-2,1.890999964E-3,-3.207480013E-1
6.665709920E-1,-8.102499694E-2,5.470999982E-3,-3.191030025E-1
6.715516890E-1,-1.052979976E-1,8.271000348E-3,-3.253850043E-1
6.765325340E-1,-1.204390004E-1,5.977999885E-3,-3.396669924E-1
6.815134420E-1,-1.256559938E-1,-9.619999910E-4,-3.602870107E-1
6.864941360E-1,-1.189759970E-1,-8.495000191E-3,-3.816359937E-1
6.914750570E-1,-1.088429987E-1,-1.164900046E-2,-3.962239921E-1
6.964558860E-1,-1.066109985E-1,-1.238299999E-2,-4.022130072E-1
7.014368070E-1,-1.165089980E-1,-1.527000032E-2,-3.995339870E-1
7.064175020E-1,-1.380909979E-1,-1.815400086E-2,-3.993070126E-1
7.113983460E-1,-1.619320065E-1,-1.726800017E-2,-4.016790092E-1
7.163792690E-1,-1.810050011E-1,-1.949599944E-2,-3.885079920E-1
7.213601780E-1,-1.987529993E-1,-2.344899997E-2,-3.657140136E-1
7.263408720E-1,-2.102060020E-1,-3.031500056E-2,-3.470309973E-1
7.313217930E-1,-2.164320052E-1,-3.459500149E-2,-3.188050091E-1
7.363026420E-1,-2.355870008E-1,-3.003899939E-2,-2.778359950E-1
7.412835630E-1,-2.533999979E-1,-4.197100177E-2,-2.709189951E-1
7.462644860E-1,-2.531580031E-1,-7.009699941E-2,-2.856880128E-1
7.512451170E-1,-2.425570041E-1,-1.030040011E-1,-2.994830012E-1
7.562260380E-1,-2.267989963E-1,-1.313090026E-1,-3.167749941E-1
7.612067330E-1,-2.088920027E-1,-1.489720047E-1,-3.317579925E-1
7.661875630E-1,-1.995469928E-1,-1.581230015E-1,-3.409349918E-1
7.711685630E-1,-2.033720016E-1,-1.636569947E-1,-3.429139853E-1
7.761494110E-1,-2.108999938E-1,-1.719139963E-1,-3.381769955E-1
7.811303270E-1,-2.183919996E-1,-1.811369956E-1,-3.190650046E-1
7.861110210E-1,-2.307060063E-1,-1.863449961E-1,-2.854500115E-1
7.910918650E-1,-2.493669987E-1,-1.867450029E-1,-2.381920069E-1
7.960725600E-1,-2.732990086E-1,-1.855320036E-1,-1.853179932E-1
8.010534810E-1,-2.968499959E-1,-1.894139946E-1,-1.308880001E-1
8.060343290E-1,-3.150520027E-1,-1.978189945E-1,-7.585299760E-2
8.110152550E-1,-3.285279870E-1,-2.092680037E-1,-2.390700020E-2
8.159959490E-1,-3.402029872E-1,-2.218099982E-1,2.269200049E-2
8.209768700E-1,-3.538849950E-1,-2.324829996E-1,6.667599827E-2
8.259577180E-1,-3.680860102E-1,-2.399359941E-1,1.079929993E-1
8.309384100E-1,-3.768930137E-1,-2.490260005E-1,1.425780058E-1
8.359193360E-1,-3.762139976E-1,-2.638320029E-1,1.590729952E-1
8.409002590E-1,-3.591980040E-1,-2.821890116E-1,1.445609927E-1
8.458811070E-1,-3.291760087E-1,-2.929799855E-1,9.943100065E-2
8.508620190E-1,-2.968600094E-1,-2.958669960E-1,3.351299837E-2
8.558427140E-1,-2.606639862E-1,-2.933889925E-1,-3.231000155E-2
8.608236350E-1,-2.308769971E-1,-2.982369959E-1,-8.407499641E-2
8.658044680E-1,-2.122830003E-1,-3.085640073E-1,-1.201879978E-1
8.707851600E-1,-2.016839981E-1,-3.195070028E-1,-1.395639926E-1
8.757663120E-1,-1.888650060E-1,-3.245579898E-1,-1.265919954E-1
8.807470220E-1,-1.796309948E-1,-3.259820044E-1,-9.757000208E-2
8.857278660E-1,-1.700730026E-1,-3.287169933E-1,-5.149599910E-2
8.907087890E-1,-1.662569940E-1,-3.303309977E-1,1.613499969E-2
8.956894780E-1,-1.723349988E-1,-3.295780122E-1,9.763000160E-2
9.006703990E-1,-1.931580007E-1,-3.248260021E-1,1.783419997E-1
9.056512560E-1,-2.380360067E-1,-3.161090016E-1,2.533819973E-1
9.106319490E-1,-2.978799939E-1,-3.058150113E-1,3.177540004E-1
9.156128700E-1,-3.565450013E-1,-2.929190099E-1,3.735949993E-1
9.205937230E-1,-3.989450037E-1,-2.790899873E-1,4.168620110E-1
9.255747210E-1,-4.373329878E-1,-2.596000135E-1,4.434950054E-1
9.305555690E-1,-4.803029895E-1,-2.413900048E-1,4.394550025E-1
9.355362800E-1,-5.212540030E-1,-2.303339988E-1,4.065339863E-1
9.405171250E-1,-5.486530066E-1,-2.263409942E-1,3.503189981E-1
9.454980480E-1,-5.518000126E-1,-2.383420020E-1,2.708689868E-1
9.504789860E-1,-5.368250012E-1,-2.366420031E-1,2.198240012E-1
9.554596800E-1,-5.047969818E-1,-2.292809933E-1,1.747740060E-1
9.604405240E-1,-4.606600106E-1,-2.318200022E-1,1.258369982E-1
9.654214470E-1,-4.178169966E-1,-2.410649955E-1,8.381400257E-2
9.704021420E-1,-3.760080040E-1,-2.563779950E-1,5.089899898E-2
9.753830480E-1,-3.365600109E-1,-2.727789879E-1,2.999299951E-2
9.803638960E-1,-3.048099875E-1,-2.834730148E-1,2.533500083E-2
9.853448170E-1,-2.840070128E-1,-2.849409878E-1,4.076199979E-2
9.903255210E-1,-2.826870084E-1,-2.759639919E-1,8.668699861E-2
9.953064420E-1,-2.959960103E-1,-2.666119933E-1,1.593070030E-1
1.000287291E0,-3.120709956E-1,-2.572790086E-1,2.488790005E-1
1.005268202E0,-3.288249969E-1,-2.539629936E-1,3.318380117E-1
1.010248896E0,-3.399299979E-1,-2.435840070E-1,3.985239863E-1
1.015229817E0,-3.435139954E-1,-2.241719961E-1,4.403170049E-1
1.020210675E0,-3.403809965E-1,-2.053869963E-1,4.586209953E-1
1.025191596E0,-3.420870006E-1,-1.933590025E-1,4.497680068E-1
1.030172291E0,-3.440270126E-1,-1.876949966E-1,4.184879959E-1
1.035153130E0,-3.459619880E-1,-1.781840026E-1,3.672870100E-1
1.040134053E0,-3.459140062E-1,-1.657869965E-1,2.938939929E-1
1.045114747E0,-3.357239962E-1,-1.579760015E-1,2.010850012E-1
1.050095658E0,-3.061200082E-1,-1.567070037E-1,9.402199835E-2
1.055076506E0,-2.591330111E-1,-1.639280021E-1,-2.227400057E-2
1.060057428E0,-2.041150033E-1,-1.802400053E-1,-1.416150033E-1
1.065038122E0,-1.491180062E-1,-2.003120035E-1,-2.559869885E-1
1.070019043E0,-1.063340008E-1,-2.184129953E-1,-3.575069904E-1
1.074999891E0,-7.134100050E-2,-2.402350008E-1,-4.389789999E-1
1.079980822E0,-3.555500135E-2,-2.649079859E-1,-4.892809987E-1
1.084961517E0,-1.373999985E-3,-2.875829935E-1,-5.043669939E-1
1.089942438E0,2.367199957E-2,-3.069359958E-1,-4.857259989E-1
1.094923295E0,3.145100176E-2,-3.115650117E-1,-4.259949923E-1
1.099904216E0,2.943800017E-2,-3.300800025E-1,-3.771870136E-1
1.104885139E0,1.716700010E-2,-3.551709950E-1,-3.254359961E-1
1.109865833E0,-4.400000034E-4,-3.702009916E-1,-2.678830028E-1
1.114846677E0,-1.075800043E-2,-3.773719966E-1,-2.148180008E-1
1.119827601E0,-1.448099967E-2,-3.785119951E-1,-1.693640053E-1
1.124808295E0,-1.535100024E-2,-3.782750070E-1,-1.350450069E-1
1.129789139E0,-1.623900048E-2,-3.794260025E-1,-1.155060008E-1
1.134770139E0,-2.288700081E-2,-3.793889880E-1,-1.072160006E-1
1.139750992E0,-3.765600175E-2,-3.792949915E-1,-1.158429980E-1
1.144731685E0,-6.166400015E-2,-3.782629967E-1,-1.439419985E-1
1.149712587E0,-9.006500244E-2,-3.769260049E-1,-1.902360022E-1
1.154693435E0,-1.229360029E-1,-3.697279990E-1,-2.426580042E-1
1.159674356E0,-1.593209952E-1,-3.599469960E-1,-2.976830006E-1
1.164655050E0,-1.946219951E-1,-3.512920141E-1,-3.581120074E-1
1.169635894E0,-2.272689939E-1,-3.462829888E-1,-4.228630066E-1
1.174616817E0,-2.575980127E-1,-3.472569883E-1,-4.866679907E-1
1.179597746E0,-2.816709876E-1,-3.550580144E-1,-5.427550077E-1
1.184578440E0,-2.954390049E-1,-3.673009872E-1,-5.843679905E-1
1.189559284E0,-3.031330109E-1,-3.786270022E-1,-6.083369851E-1
1.194540201E0,-3.112039864E-1,-3.860920072E-1,-6.151270270E-1
1.199520895E0,-3.210450113E-1,-3.890640140E-1,-6.022340059E-1
1.204501817E0,-3.308970034E-1,-3.892059922E-1,-5.683619976E-1
1.209482665E0,-3.376930058E-1,-3.895750046E-1,-5.172579885E-1
1.214463586E0,-3.411499858E-1,-3.940210044E-1,-4.577319920E-1
