"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
6.462189600E-2,-2.011716366E-1,6.141591072E-1,6.256885529E-1
7.752239600E-2,-2.815003395E-1,5.362420082E-1,-2.030825615E-1
8.891964600E-2,-1.701700687E-1,4.775843620E-1,-5.490446091E-1
9.960277100E-2,2.495741844E-2,5.996885300E-1,1.718378067E-2
1.099623330E-1,-1.450309753E-1,9.085407257E-1,7.306561470E-1
1.211941140E-1,-7.567493916E-1,9.911403656E-1,1.457296371E0
1.307345050E-1,-1.987240314E-1,4.425344467E-1,2.057541370E0
1.404917000E-1,-4.005732536E-1,4.218559265E-1,1.865187168E0
1.503632980E-1,-6.239423752E-1,8.108396530E-1,5.457835197E-1
1.603545970E-1,-4.137270451E-1,1.045297146E0,1.601778984E0
1.703072460E-1,-2.682447433E-2,1.177571774E0,1.814549923E0
1.803505710E-1,2.122330666E-2,1.091041565E0,6.562318802E-1
1.906197330E-1,2.435492277E-1,8.923187256E-1,-7.379150391E-2
2.004563140E-1,5.400834084E-1,8.664431572E-1,-2.106633186E-1
2.103481050E-1,7.480211258E-1,9.056358337E-1,3.689479828E-1
2.203430000E-1,7.672925591E-1,8.523087502E-1,9.423518181E-1
2.302954480E-1,7.870575190E-1,1.000776768E0,1.011955738E0
2.402781720E-1,7.208682895E-1,9.121189117E-1,1.202677250E0
2.502510340E-1,7.674567103E-1,3.977823257E-1,1.626173019E0
2.602479650E-1,4.607846737E-1,-6.234965324E-1,3.317016602E0
2.702419300E-1,3.251735210E0,-1.160951614E0,2.236653328E0
2.802424130E-1,2.001664162E0,-2.798109531E0,1.842326164E0
2.902436540E-1,1.397894502E0,-3.002226114E0,1.270941257E0
3.002912750E-1,2.495808840E0,-1.788464069E0,1.567571163E0
3.102665850E-1,7.212859392E-1,-1.224477291E0,1.637710571E0
3.202582400E-1,-4.661492109E-1,-1.195265293E0,1.430162430E0
3.302580680E-1,-6.362092495E-1,-5.975775719E-1,9.544658661E-1
3.402609820E-1,-6.758025885E-1,-2.276101112E-1,1.335471153E0
3.503529390E-1,-1.102498770E0,-1.820311546E-1,1.518208504E0
3.603099170E-1,-1.236442804E0,-1.343531609E-1,1.158061028E0
3.702714060E-1,-1.389684916E0,1.528897285E-1,9.144210815E-1
3.802581510E-1,-1.565645218E0,3.570113182E-1,5.715465546E-1
3.904770230E-1,-1.806520224E0,4.667878151E-1,1.479148865E-2
4.004204590E-1,-1.720657349E0,6.690998077E-1,-5.119175911E-1
4.103461770E-1,-1.146808624E0,1.305172920E0,-6.557989120E-1
4.203835360E-1,-6.652045250E-1,1.301308632E0,-1.025196075E0
4.303257160E-1,-7.285650373E-1,9.216904640E-1,-1.949273586E0
4.403548060E-1,-3.249189854E-1,1.062333584E0,-2.792663574E0
4.504083510E-1,1.467663497E-1,9.582586288E-1,-3.077110767E0
4.603491230E-1,1.074669659E-1,7.557477951E-1,-2.799531937E0
4.704515090E-1,1.742706746E-1,7.671852112E-1,-2.381099701E0
4.803647020E-1,2.250491828E-1,7.769713402E-1,-1.917046547E0
4.903177990E-1,2.306727171E-1,1.012449265E-1,-1.502621174E0
5.002953470E-1,6.244900227E-1,-3.598403931E-1,-1.165718555E0
5.105006210E-1,7.883421779E-1,-1.728129387E-1,-7.611541748E-1
5.210052580E-1,7.703014016E-1,-7.548885345E-1,-6.724295616E-1
5.306605770E-1,8.267605305E-1,-9.813783169E-1,-8.336806297E-1
5.404637360E-1,8.854563236E-1,-1.008757830E0,-1.037646294E0
5.503928160E-1,8.459920287E-1,-1.291887760E0,-1.039987564E0
5.604543560E-1,9.443173409E-1,-1.283023834E0,-7.940516472E-1
5.703521260E-1,8.193895817E-1,-1.081703901E0,-6.697692871E-1
5.803195110E-1,1.590716541E-1,-5.836019516E-1,-8.337454796E-1
5.903847030E-1,-8.108558059E-1,3.567657471E-1,-5.849313736E-1
6.003562990E-1,-1.448338032E0,9.374694824E-1,-2.936706543E-1
6.104060970E-1,-1.641561985E0,1.332673550E0,-3.764877319E-1
6.203434960E-1,-1.350255847E0,1.281576157E0,-9.044246674E-1
6.303066960E-1,-1.104221821E0,1.098838329E0,-1.691218376E0
6.403937960E-1,-9.411857128E-1,1.197503567E0,-2.199837685E0
6.503873460E-1,-8.124277592E-1,1.219143867E0,-2.250186920E0
6.603501210E-1,-9.045811296E-1,1.400389194E0,-1.796635151E0
6.703690080E-1,-9.426513314E-1,1.610149860E0,-1.377319813E0
6.804699520E-1,-7.180434465E-1,1.464694500E0,-1.206912041E0
6.903964240E-1,-5.495509505E-1,1.175236225E0,-1.589046955E0
7.003441600E-1,-4.430492520E-1,1.195091248E0,-2.056257248E0
7.103155280E-1,-1.494488716E-1,1.222403049E0,-2.132312298E0
7.203027120E-1,-1.595554352E-1,1.061479092E0,-1.759490490E0
7.303118040E-1,-2.948232889E-1,1.220318794E0,-1.005475044E0
7.403378500E-1,-3.363385797E-1,1.230068684E0,-5.753312111E-1
7.503348730E-1,-3.841165304E-1,1.233313084E0,-6.208167076E-1
7.603098840E-1,-3.494285643E-1,1.294909000E0,-6.639661789E-1
7.703263900E-1,-2.749248743E-1,1.376255989E0,-7.107100487E-1
7.803156430E-1,-4.045153558E-1,1.565262318E0,-1.050579548E0
7.903152690E-1,-4.846468270E-1,1.726124287E0,-9.526662827E-1
8.003065820E-1,-5.576200485E-1,1.896340847E0,-6.781821251E-1
8.103287390E-1,-5.646871328E-1,2.037482262E0,-3.760824203E-1
8.206118170E-1,-5.295437574E-1,2.045033455E0,-1.346588135E-1
8.305478560E-1,-5.394685864E-1,2.042217731E0,2.599811554E-1
8.405138760E-1,-4.983411431E-1,2.123262882E0,8.375425339E-1
8.504278860E-1,-6.196947098E-1,2.227593422E0,1.445499420E0
8.604318910E-1,-7.092667818E-1,2.301899910E0,1.557532310E0
8.703808930E-1,-6.104849577E-1,2.359690189E0,1.556152344E0
8.804563940E-1,-4.756439924E-1,2.350243568E0,1.386476517E0
8.903791450E-1,-4.386625588E-1,2.389891148E0,1.093335152E0
9.003245200E-1,-5.337336659E-1,2.419600964E0,7.732048035E-1
9.103172080E-1,-7.107828856E-1,2.400408268E0,5.024137497E-1
9.203840520E-1,-9.008349180E-1,2.189458847E0,3.582563400E-1
9.304029740E-1,-1.058528662E0,1.809975147E0,4.062442780E-1
9.403609350E-1,-1.199305534E0,1.139309406E0,5.005292892E-1
9.503504150E-1,-1.357878804E0,3.643455505E-1,6.847295761E-1
9.603671550E-1,-1.422153592E0,-3.042745590E-1,1.048749924E0
9.703375250E-1,-1.374138355E0,-7.773191929E-1,1.348176003E0
9.803352100E-1,-1.239071369E0,-1.284355164E0,1.718260765E0
9.903300530E-1,-1.006248355E0,-1.565675020E0,1.926985741E0
1.000367974E0,-8.290514350E-1,-1.455841780E0,1.957065582E0
1.010386435E0,-7.557569742E-1,-1.360844374E0,1.909954071E0
1.020487665E0,-5.799582005E-1,-1.216900349E0,1.784724236E0
1.030429280E0,-4.600060880E-1,-1.010731936E0,1.373592377E0
1.040368588E0,-4.323852062E-1,-7.257032394E-1,6.350879669E-1
1.050466742E0,-4.575548768E-1,-4.267892838E-1,-2.544898987E-1
1.060377319E0,-7.171335816E-1,-1.210951805E-1,-9.410667419E-1
1.070343107E0,-9.846191406E-1,1.853551865E-1,-1.403803349E0
1.080318501E0,-1.143275738E0,4.024257660E-1,-1.821031094E0
1.090324698E0,-1.292667150E0,5.492835045E-1,-2.218214989E0
1.100318297E0,-1.344221473E0,5.662083626E-1,-2.568616867E0
1.110310096E0,-1.222855449E0,3.891625404E-1,-2.759087563E0
1.120294496E0,-1.020664692E0,1.332845688E-1,-2.840503693E0
1.130788196E0,-7.818904519E-1,-2.088446617E-1,-2.805037498E0
1.143550546E0,-5.927485228E-1,-4.650239944E-1,-2.641034603E0
1.160335896E0,-6.221951246E-1,-5.681519508E-1,-2.377829552E0
1.170819896E0,-6.783503890E-1,-6.203370094E-1,-1.985706329E0
1.181204896E0,-6.990090609E-1,-6.222839355E-1,-1.419268608E0
1.190305896E0,-6.612662077E-1,-6.373820305E-1,-1.054860592E0
1.200289896E0,-5.911880136E-1,-6.620297432E-1,-9.633855820E-1
1.210330896E0,-4.842283130E-1,-6.035223007E-1,-9.945497513E-1
1.220348896E0,-4.268075824E-1,-4.445428848E-1,-9.682726860E-1
1.230317896E0,-4.842517376E-1,-2.771816254E-1,-9.473500252E-1
1.240314896E0,-5.875228047E-1,-7.060623169E-2,-9.541611671E-1
1.250329896E0,-6.347358823E-1,9.726619720E-2,-1.118937016E0
1.260326896E0,-5.854191184E-1,1.721224785E-1,-1.318131924E0
1.271213896E0,-4.872620404E-1,2.444658279E-1,-1.580453396E0
1.280945896E0,-4.265533090E-1,3.298106194E-1,-1.913453102E0
1.290633896E0,-4.010682702E-1,4.179434776E-1,-2.292797089E0
1.300338896E0,-3.931787908E-1,5.004792213E-1,-2.526762962E0
1.310333896E0,-4.649633169E-1,6.378064156E-1,-2.558335781E0
1.320635896E0,-8.024284840E-1,1.164044380E0,-2.168320179E0
1.331093896E0,-1.043119907E0,1.259279251E0,-1.548157215E0
1.340302896E0,-1.230532885E0,1.208135128E0,-1.226808548E0
1.350434896E0,-1.254233122E0,1.257341385E0,-9.029273987E-1
1.360324896E0,-1.326505661E0,1.448815823E0,-3.023653030E-1
1.370335896E0,-1.338270903E0,1.434471130E0,5.030059814E-2
1.380314896E0,-1.169730067E0,1.316339016E0,2.455997467E-1
1.391342896E0,-9.600043297E-1,1.351231575E0,4.806385040E-1
1.400310896E0,-5.813831687E-1,1.182345390E0,6.614017487E-1
1.410333896E0,-1.657940894E-1,1.018588543E0,5.937128067E-1
1.420351896E0,1.653411686E-1,7.901906967E-1,8.410377502E-1
1.430391896E0,8.920760453E-2,6.434750557E-1,1.128807068E0
1.440756896E0,-5.138020962E-3,8.447332382E-1,1.546079636E0
1.450279896E0,9.697759748E-1,1.704072952E0,1.692719460E0
1.460315896E0,7.791339159E-1,1.887604713E0,1.949388504E0
1.470597896E0,3.430593610E-1,1.820553780E0,2.101422310E0
1.482844896E0,-3.196801245E-2,1.739466190E0,1.990943909E0
1.500302896E0,-3.723330498E-1,1.606786251E0,1.334860802E0
1.512469896E0,-4.154036343E-1,1.477595806E0,1.173059464E0
1.530361896E0,-1.077542007E-1,1.105273247E0,1.298354149E0
1.540365896E0,1.601162553E-1,9.570360184E-1,1.532591820E0
1.550382896E0,4.847283065E-1,8.029704094E-1,1.730095863E0
1.560428896E0,8.707025051E-1,6.084737778E-1,1.835889816E0
1.570305896E0,1.308653831E0,2.711615562E-1,1.833537102E0
1.580324896E0,1.654323339E0,-1.128501892E-1,1.804121017E0
1.590471896E0,1.781556010E0,-4.012966156E-1,1.668870926E0
1.600343896E0,1.741357327E0,-6.474294662E-1,1.542091370E0
1.610486896E0,1.724186063E0,-8.817143440E-1,1.397168159E0
1.620342896E0,1.708223820E0,-1.167176008E0,1.140978813E0
1.630327896E0,1.567649722E0,-1.456164122E0,7.535247803E-1
1.640330896E0,1.156793594E0,-1.632972002E0,4.338016510E-1
1.650293896E0,5.774585009E-1,-1.626967907E0,3.911771774E-1
1.660315896E0,-1.587504148E-2,-1.562162876E0,2.731523514E-1
1.670783896E0,-6.072355509E-1,-1.407154799E0,4.958152771E-2
1.680428896E0,-1.046564341E0,-1.256367445E0,-2.270717621E-1
1.690343896E0,-1.193043590E0,-1.193242311E0,-5.824747086E-1
1.700282896E0,-1.040192962E0,-1.120821953E0,-9.250159264E-1
1.710808896E0,-6.966104507E-1,-1.129813910E0,-1.209758759E0
1.724284896E0,2.938184738E-1,-1.093981981E0,-1.610957146E0
1.740335896E0,6.959990859E-1,-1.066161156E0,-1.582095146E0
1.750356896E0,1.023311615E0,-1.074409962E0,-1.516851902E0
1.760381896E0,1.191922426E0,-1.038194180E0,-1.374646187E0
1.772037896E0,1.183274031E0,-9.879443645E-1,-8.177990913E-1
