"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
6.991256200E-2,0.000000000E0,0.000000000E0,0.000000000E0
7.501256200E-2,5.848079920E-2,-1.141843796E-1,-1.088104248E-1
8.011256200E-2,3.529226780E-2,-1.963930130E-1,-1.988515854E-1
8.521256200E-2,-1.092301607E-1,-3.040804863E-1,-3.170423508E-1
9.029943700E-2,-3.296477795E-1,-3.146739006E-1,-5.217337608E-1
9.537949000E-2,-6.257770658E-1,-2.051382065E-1,-8.427453041E-1
1.004595940E-1,-7.767159343E-1,-4.067468643E-2,-9.126477242E-1
1.055396460E-1,-8.166109324E-1,1.420192719E-1,-6.869778633E-1
1.105593850E-1,-7.437434196E-1,3.116903305E-1,-4.326577187E-1
1.156271460E-1,-5.516113043E-1,4.784212112E-1,-2.649979591E-1
1.206949060E-1,-3.528451920E-1,6.433963776E-1,-1.753516197E-1
1.257626150E-1,-3.043668270E-1,7.245144844E-1,-9.375000000E-2
1.308182920E-1,-3.063540459E-1,7.855033875E-1,-9.326553345E-2
1.358836040E-1,-3.420705795E-1,8.592252731E-1,-1.771574020E-1
1.409488650E-1,-3.285176754E-1,8.820934296E-1,-1.616926193E-1
1.460141770E-1,-1.968581676E-1,8.615007401E-1,-5.289363861E-2
1.510770420E-1,6.409019232E-1,7.000651360E-1,1.807527542E-1
1.561418330E-1,7.371426821E-1,3.093876839E-1,5.744380951E-1
1.612066250E-1,-5.759113431E-1,-8.257794380E-2,9.361886978E-1
1.662714690E-1,-1.523269534E0,-5.184075832E-1,1.265334129E0
1.711816770E-1,-1.544847131E0,-6.583173275E-1,1.247493744E0
1.762150100E-1,-1.129494309E0,-5.861926079E-1,1.065901756E0
1.812482920E-1,-7.648627758E-1,-5.889601707E-1,9.017000198E-1
1.862815730E-1,-6.080923080E-1,-6.236722469E-1,9.735193253E-1
1.913815730E-1,-5.233733654E-1,-6.982266903E-1,1.073966026E0
1.964815730E-1,-4.332014322E-1,-8.215696812E-1,1.041364670E0
2.015815730E-1,-2.390892506E-1,-8.580021858E-1,9.125823975E-1
2.066815730E-1,-4.960966110E-2,-8.519697189E-1,7.320089340E-1
2.117815730E-1,1.078680754E-1,-7.859096527E-1,5.005455017E-1
2.168815730E-1,3.082659245E-1,-6.615064144E-1,2.560615540E-1
2.219815730E-1,4.808911681E-1,-5.399429798E-1,8.145427704E-2
2.270750620E-1,5.066043735E-1,-4.854590893E-1,-1.605272293E-1
2.319800620E-1,4.690992236E-1,-5.570397377E-1,-4.866828918E-1
2.369926670E-1,2.877829075E-1,-6.087083817E-1,-8.494195938E-1
2.420278230E-1,9.616017342E-3,-5.625936985E-1,-1.159564972E0
2.470630310E-1,-3.058986664E-1,-4.583489895E-1,-1.293203831E0
2.521630310E-1,-6.049183607E-1,-2.688059807E-1,-1.301669598E0
2.572630310E-1,-7.244580984E-1,-2.063133717E-1,-1.085254669E0
2.623305830E-1,-4.319108725E-1,-6.641548872E-1,-4.206666946E-1
2.673893330E-1,-4.825794697E-2,-1.175863028E0,3.683738708E-1
2.724893330E-1,3.045905828E-1,-1.640863299E0,6.669225693E-1
2.775893330E-1,6.027195454E-1,-1.742396593E0,5.333919525E-1
2.826893330E-1,1.081770778E0,-1.428657651E0,5.998859406E-1
2.877893330E-1,1.263191342E0,-1.332351565E0,7.166757584E-1
2.928864170E-1,1.192958474E0,-1.524037361E0,5.686178207E-1
2.979657920E-1,1.113135457E0,-1.567574143E0,2.454032898E-1
3.030451670E-1,9.658607841E-1,-1.470973611E0,-8.588218689E-2
3.081245940E-1,7.795659304E-1,-1.354422569E0,-2.005386353E-1
3.131463120E-1,6.101765633E-1,-1.270365357E0,-2.017269135E-1
3.182139170E-1,4.885127544E-1,-1.226692319E0,-2.282724380E-1
3.232815210E-1,4.298553467E-1,-1.260802150E0,-1.908283234E-1
3.283490730E-1,3.275427818E-1,-1.272832036E0,-6.737422943E-2
3.334051670E-1,1.625200510E-1,-1.080258369E0,-4.263114929E-2
3.384704270E-1,6.674540043E-2,-5.136324763E-1,-4.870986938E-2
3.435356870E-1,-1.777392626E-1,6.626033783E-2,-1.926565170E-1
