"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.298087300E-2,-2.698168755E-1,3.958864212E-1,4.850392342E-1
3.863449800E-2,-2.650284767E-1,3.875064850E-1,5.149664879E-1
5.147981000E-2,-1.465153694E-1,2.869501114E-1,9.255728722E-1
6.295846600E-2,1.219761372E-1,2.880916595E-1,1.202464581E0
7.385879400E-2,2.157850266E-1,3.279609680E-1,1.102966785E0
8.482095800E-2,1.894710064E-1,4.403634071E-1,8.657588959E-1
9.477654000E-2,3.825426102E-2,4.353237152E-1,5.300126076E-1
1.046248310E-1,-1.649720669E-1,3.751487732E-1,2.785549164E-1
1.147199770E-1,-3.673276901E-1,3.218097687E-1,1.829361916E-1
1.247530500E-1,-4.342658520E-1,1.409368515E-1,1.679854393E-1
1.354990860E-1,-2.834153175E-1,5.940151215E-2,3.212065697E-1
1.449851040E-1,-3.913187981E-1,1.646428108E-1,6.932930946E-1
1.548641130E-1,-3.921456337E-1,-7.013130188E-2,-1.375880241E-1
1.648251180E-1,9.413719177E-3,-5.226373672E-2,2.403049469E-1
1.747916200E-1,1.871829033E-1,-1.709456444E-1,2.074046135E-1
1.845543710E-1,3.898274899E-1,-2.120275497E-1,6.581974030E-2
1.946432470E-1,3.711555004E-1,-1.243391037E-1,-3.394079208E-2
2.051606850E-1,4.712927341E-1,-3.444886208E-1,-4.113063812E-1
2.147619040E-1,7.978527546E-1,-7.941060066E-1,-8.303136826E-1
2.245775130E-1,6.055798531E-1,-9.670629501E-1,-7.272944450E-1
2.345068180E-1,-2.830147743E-2,-6.802766323E-1,-5.700387955E-1
2.445634700E-1,-4.750843048E-1,-4.246549606E-1,-5.112338066E-1
2.545532960E-1,-4.928901196E-1,-5.035624504E-1,-5.268058777E-1
2.644612090E-1,-1.363697052E-1,-6.634652615E-1,-4.837002754E-1
2.747101660E-1,4.798836708E-1,-7.416753769E-1,-2.948808670E-1
2.845166440E-1,-1.560969353E-1,-9.171624184E-1,-7.528176308E-1
2.952118830E-1,-1.146697998E-1,-1.277618408E-1,-7.856197357E-1
3.047770030E-1,4.540371895E-1,-1.239423752E-1,-3.911786079E-1
3.146245630E-1,7.614569664E-1,-7.925133705E-1,-3.045029640E-1
3.261428430E-1,8.465819359E-1,-1.036902905E0,-5.981326103E-1
3.353954830E-1,1.014591217E0,-1.629127264E0,-8.593034744E-1
3.455293030E-1,8.858041763E-1,-1.556906939E0,-5.190925598E-1
3.550052130E-1,4.233520031E-1,-1.087009192E0,-2.425241470E-1
3.647901680E-1,6.401515007E-2,-6.062786579E-1,-2.397480011E-1
3.748391450E-1,-9.610652924E-2,-6.364798546E-2,-6.487846375E-2
3.847561340E-1,-2.132213116E-1,-1.846649647E-1,-2.818517685E-1
3.951016280E-1,-3.052823544E-1,-5.191249847E-1,-9.094715118E-2
4.047933750E-1,-4.610652924E-1,-7.004152536E-1,3.973855972E-1
4.147172490E-1,-6.863088608E-1,-7.357288599E-1,1.028882980E0
4.246201860E-1,-9.608166218E-1,-3.793803453E-1,1.376359940E0
4.345861540E-1,-1.743485689E0,5.502114296E-1,-1.169271469E0
4.446436380E-1,-1.492276430E0,1.372809410E0,1.467866898E-1
4.546588800E-1,-9.361577034E-1,1.209745169E0,5.026350021E-1
4.652190010E-1,3.026580811E-1,5.342645645E-1,1.445436478E-1
4.748635620E-1,1.596596241E-1,6.111853123E-1,1.020498276E-1
4.846473420E-1,1.963304281E-1,3.421769142E-1,-6.244373322E-1
4.945912320E-1,1.886348724E-1,1.038948298E-1,-1.044278145E0
5.044451770E-1,2.173229456E-1,-3.331793547E-1,-5.295324326E-1
5.144371500E-1,4.509611130E-1,-3.037558794E-1,3.774547577E-2
