"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
0.000000000E0,2.136933804E-1,-4.240999222E-1,-1.005013943E0
1.371764700E-2,-1.442396641E-1,-2.912216187E-1,-5.944080353E-1
2.955264700E-2,-8.438467979E-2,-3.403029442E-1,2.449321747E-2
4.243964700E-2,-1.813499928E-1,-2.493228912E-1,4.386897087E-1
5.397114700E-2,-2.536952496E-1,-4.240703583E-2,5.817499161E-1
6.465539700E-2,-3.934392929E-1,3.325176239E-2,6.527075768E-1
7.519152200E-2,-5.367558002E-1,8.616828918E-2,7.530260086E-1
8.527008400E-2,-5.390753746E-1,1.173682213E-1,7.548508644E-1
9.534836500E-2,-3.604023457E-1,6.238365173E-2,4.663014412E-1
1.053620060E-1,-2.173178196E-1,-7.509088516E-2,-1.522130966E-1
1.153983260E-1,-2.497532368E-1,-1.035838127E-1,-1.248005867E0
1.255624860E-1,-5.175263882E-1,-8.664035797E-2,-1.158463478E0
1.355475660E-1,-6.285201311E-1,-3.929691315E-1,-5.856323242E-1
1.454461060E-1,-6.160634756E-1,-4.769954681E-1,-3.675994873E-1
1.554653760E-1,-5.575116873E-1,-4.659600258E-1,-1.860618591E-2
1.654075110E-1,-5.972846746E-1,-3.734073639E-1,3.407592773E-1
1.757260790E-1,-6.309609413E-1,-3.002552986E-1,6.793165207E-1
1.856103630E-1,-6.796100140E-1,-1.951599121E-1,9.069342613E-1
1.955355050E-1,-6.284632683E-1,-9.656715393E-2,1.020588398E0
2.054520760E-1,-5.444550514E-1,-1.760578156E-2,1.159676552E0
2.154853610E-1,-4.885013103E-1,1.048660278E-1,1.338756561E0
2.256965040E-1,-5.152276158E-1,2.887802124E-1,1.375234604E0
2.355690750E-1,-5.598442554E-1,4.463543892E-1,1.484653473E0
2.455163610E-1,-6.362612844E-1,5.005297661E-1,1.551885605E0
2.555035040E-1,-6.702518463E-1,4.747023582E-1,1.531921387E0
2.654495750E-1,-6.343569160E-1,4.005684853E-1,1.493691921E0
2.754701110E-1,-5.401556492E-1,3.687252998E-1,1.479150772E0
2.854333790E-1,-3.773338795E-1,3.769602776E-1,1.470191002E0
2.954615130E-1,-3.410525322E-1,4.668769836E-1,1.396296501E0
3.054590800E-1,-2.901560664E-1,5.406179428E-1,1.253047466E0
3.154788630E-1,-1.733927727E-1,5.041456223E-1,1.160308838E0
3.254217550E-1,-1.432746649E-2,4.448180199E-1,1.214443207E0
3.354177010E-1,1.946128607E-1,1.835999489E-1,1.129792213E0
3.454316740E-1,4.401857257E-1,-7.042264938E-2,1.184272766E0
3.555136600E-1,5.264554620E-1,-3.911094666E-1,1.383363724E0
3.654531530E-1,5.201365948E-1,-8.055000305E-1,1.396189690E0
3.754679000E-1,3.850316107E-1,-1.198370934E0,1.405117989E0
3.854552730E-1,1.241823435E-1,-1.497182846E0,1.492534637E0
3.954519600E-1,-2.515459061E-1,-1.694196463E0,1.685585022E0
4.055973030E-1,-6.813414097E-1,-1.723686695E0,1.846363068E0
4.155494750E-1,-9.672724009E-1,-1.668695688E0,2.065667152E0
4.254690610E-1,-1.059155464E0,-1.545932770E0,2.286214828E0
4.354643540E-1,-9.231911898E-1,-1.463284016E0,2.377875328E0
4.454265000E-1,-5.865845680E-1,-1.459101200E0,2.292618752E0
4.555605730E-1,-1.842773855E-1,-1.467331886E0,2.099153519E0
4.654626100E-1,1.508489847E-1,-1.538826227E0,1.689960480E0
4.755386280E-1,2.097666860E-1,-1.574169636E0,1.349826813E0
4.854491370E-1,3.068968654E-2,-1.599570513E0,1.079678535E0
