"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.460621100E-2,-1.016719341E-1,-1.962184906E-1,-2.235980034E-1
3.669121100E-2,-1.064603329E-1,-1.878390312E-1,-2.678904533E-1
5.233821100E-2,-7.294154167E-2,-2.057952881E-1,-1.457862854E-1
6.613521100E-2,-3.438043594E-2,-2.494344711E-1,-1.143836975E-2
7.706121100E-2,-1.183316708E-1,-1.656832695E-1,3.387498856E-2
8.754821100E-2,-5.363130569E-2,-8.961153030E-2,2.002849579E-1
9.775921100E-2,1.369094849E-1,-1.609635353E-1,4.629325867E-1
1.079502110E-1,5.095624924E-2,-6.432867050E-2,3.297200203E-1
1.190022110E-1,-9.510517120E-3,2.310991287E-2,-1.697731018E-2
1.284942110E-1,7.824897766E-3,-3.296422958E-2,-4.148130417E-1
1.382782110E-1,-4.841470718E-2,-3.144073486E-2,-5.512790680E-1
1.481347110E-1,7.648253441E-2,-1.845035553E-1,-2.074713707E-1
1.583554610E-1,1.024746895E-1,-3.103370667E-1,2.819776535E-2
1.684203360E-1,-4.429221153E-2,-2.065134048E-1,2.372322083E-1
1.785127730E-1,-1.725533009E-1,-1.022338867E-2,3.079962730E-1
1.893434920E-1,-1.099686623E-1,3.077840805E-2,-2.768621445E-1
1.987698510E-1,7.798385620E-2,-1.908969879E-2,-2.557530403E-1
2.085155310E-1,-1.609816551E-1,-2.132806778E-1,-7.206501961E-1
2.183263710E-1,-3.309776783E-1,2.145671844E-2,-6.799702644E-1
2.283602910E-1,-2.041904926E-1,-2.580461502E-1,-6.287522316E-1
2.383637510E-1,-1.962502003E-1,-3.815088272E-1,-3.805308342E-1
2.484969810E-1,-1.345152855E-1,-4.585719109E-1,-5.006790161E-2
2.583515960E-1,-7.845425606E-2,-4.421257973E-1,5.600762367E-1
2.682569030E-1,-8.967614174E-2,-3.979511261E-1,9.813761711E-1
2.782085570E-1,-9.476518631E-2,-2.801818848E-1,1.236433983E0
2.881918840E-1,-9.216976166E-2,-1.275229454E-1,8.604359627E-1
2.983485470E-1,-1.577677727E-1,-9.215831757E-2,-4.865145683E-1
3.082353790E-1,-4.639356136E-1,-1.816406250E-1,-1.861032963E0
3.181502950E-1,-8.267498016E-2,-9.161109924E-1,-1.631377697E0
3.282232530E-1,-1.935791969E-2,-7.881770134E-1,-8.169965744E-1
3.382202320E-1,-2.510299683E-1,2.330455780E-1,-2.066516876E-2
3.484847210E-1,-3.648808002E-1,7.979111671E-1,8.213510513E-1
3.589894660E-1,-3.461685181E-1,7.053742409E-1,1.459626198E0
3.687088380E-1,-3.376626968E-2,4.399795532E-1,2.048814774E0
3.785985240E-1,-1.972579956E-2,3.778290749E-1,1.065543175E0
3.883988670E-1,-2.811769247E-1,4.738917351E-1,-3.839712143E-1
3.984900390E-1,-8.509341478E-1,1.040178299E0,-4.296336174E-1
4.096491250E-1,-1.636154175E0,1.239829540E0,-2.612056732E-1
4.188006680E-1,-1.076696992E0,1.007593155E0,2.261886597E-1
4.286879390E-1,-2.126553059E-1,6.499810219E-1,-1.691951752E-1
4.384385750E-1,9.587597847E-2,4.435081482E-1,-1.041269779E0
4.483508930E-1,7.450342178E-3,5.837011337E-2,-1.576856613E0
4.581415520E-1,-3.233256340E-1,-3.262887001E-1,-1.153640747E0
4.681358810E-1,-9.210096598E-1,-4.416525364E-1,-2.351922989E-1
4.783170460E-1,-1.439074993E0,-3.649070263E-1,7.902574539E-1
4.881961280E-1,-1.503420472E0,-1.450157166E-1,1.524639130E0
4.991971690E-1,-1.448281884E0,-1.260805130E-1,1.585349083E0
5.086591900E-1,-7.966837287E-1,-2.292542458E-1,1.058540344E0
5.183057000E-1,-4.010556936E-1,-1.084504128E-1,2.418270111E-1
5.281444550E-1,-4.929050207E-1,1.718649864E-1,-6.339311600E-1
5.381528330E-1,-6.545190811E-1,1.635518074E-1,-1.454415798E0
5.480990220E-1,-9.047104716E-1,4.441404343E-2,-2.190730095E0
5.582501160E-1,-1.083058119E0,1.782317162E-1,-1.397708893E0
5.681271630E-1,-8.828077912E-1,1.785650253E-1,-2.499523163E-1
5.781276870E-1,-4.230100513E-1,2.955074310E-1,2.747135162E-1
5.880679490E-1,1.340512037E-1,4.786288738E-1,4.286394119E-1
5.981440800E-1,5.479232073E-1,6.280725002E-1,2.125387192E-1
6.087381450E-1,8.258354664E-1,6.763792038E-1,-1.645555496E-1
6.184651780E-1,9.339758158E-1,5.642168522E-1,-8.478336334E-1
6.282971940E-1,8.751213551E-3,-4.480066299E-1,-1.251499653E0
6.382437020E-1,-4.081003368E-1,-1.391523838E0,-4.527845383E-1
6.482974560E-1,-4.382891059E-1,5.492336750E-1,1.165833473E0
6.588943330E-1,-4.378275275E-1,1.611473322E0,2.131028175E0
