"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.817819300E-2,-6.210756302E-2,-1.827335358E-1,-2.280149460E-1
6.442931800E-2,-2.179120779E-1,-1.908054352E-1,-2.885122299E-1
7.703088000E-2,-3.698152304E-1,-2.737259865E-1,-1.465921402E-1
8.835366100E-2,-1.827526093E-1,-1.072874069E-1,4.373645782E-1
9.903755200E-2,-6.412839890E-2,-7.461166382E-2,5.915198326E-1
1.093764970E-1,-1.935256720E-1,-1.853337288E-1,3.569855690E-1
1.195129700E-1,-2.238945961E-1,-1.780838966E-1,2.229375839E-1
1.295927060E-1,-2.252651453E-1,-2.063236237E-1,3.314228058E-1
1.396210740E-1,-2.656205893E-1,-1.986093521E-1,-7.004976273E-2
1.496652580E-1,-2.880667448E-1,-2.584018707E-1,-2.657980919E-1
1.597288500E-1,-3.420020342E-1,-2.318301201E-1,-3.092026711E-1
1.696861460E-1,-2.820128202E-1,-3.635354042E-1,-2.304973602E-1
1.796702940E-1,-3.531141281E-1,-3.051433563E-1,-1.156105995E-1
1.896568680E-1,-2.959628105E-1,-3.172531128E-1,1.227474213E-2
1.996556550E-1,-2.483134270E-1,-3.379960060E-1,-4.661083221E-2
2.096835490E-1,-2.880122662E-1,-2.703518867E-1,-7.117748260E-2
2.196764960E-1,-2.203377485E-1,-8.101892471E-2,5.741119385E-4
2.297364690E-1,-3.221310973E-1,-1.550879478E-1,-2.005720139E-1
2.397539560E-1,-2.704822421E-1,-1.611518860E-1,-4.334578514E-1
2.497266990E-1,-2.425089478E-1,-3.227443695E-1,-4.729328156E-1
2.597495710E-1,-2.045715451E-1,-2.323288918E-1,-3.891568184E-1
2.697170070E-1,-7.816934586E-2,-3.505525589E-1,-3.660345078E-1
2.797237250E-1,-2.180157304E-1,-3.328471184E-1,-4.005436897E-1
2.897490840E-1,-2.799935937E-1,-3.636016846E-1,-2.743945122E-1
2.997062630E-1,-2.590955496E-1,-3.179912567E-1,-1.011996269E-1
3.097233530E-1,-9.912961721E-2,-2.514481544E-1,-1.026916504E-2
3.197823980E-1,5.668449402E-2,-1.451964378E-1,3.623962402E-4
3.298349200E-1,2.439555526E-1,2.259907722E-1,-5.731010437E-2
3.398511810E-1,5.221724510E-1,3.828191757E-1,2.848806381E-1
3.497763120E-1,4.537711143E-1,3.984146118E-1,-1.713666916E-1
3.601313770E-1,2.740287781E-1,4.548583031E-1,-8.873748779E-1
3.698874100E-1,1.497161388E-1,4.265995026E-1,-1.119498730E0
3.798244260E-1,3.575379848E-1,2.845373154E-1,-7.389168739E-1
3.897334340E-1,5.580054522E-1,1.366701126E-1,-9.419584274E-2
3.996939380E-1,9.402751923E-1,6.915426254E-2,3.156671524E-1
4.097661900E-1,1.050159216E0,-5.364751816E-2,3.821787834E-1
4.197733160E-1,8.468763828E-1,-6.696844101E-2,4.285974503E-1
4.297238790E-1,5.854123831E-1,-1.436281204E-2,4.086656570E-1
4.397431610E-1,4.000951052E-1,-1.053524017E-2,5.917882919E-1
4.497703020E-1,1.437580585E-1,8.621263504E-2,6.446766853E-1
4.597548720E-1,-2.264131308E-1,2.666282654E-1,4.962387085E-1
4.697061570E-1,-1.041753292E0,1.154345036E0,-2.490339279E-1
4.797053000E-1,-6.540710926E-1,5.361723900E-1,-8.006415367E-1
4.897648710E-1,-2.405534983E-1,-1.877093315E-1,-1.208534241E0
4.997201570E-1,-1.225011349E-1,-2.847957611E-1,-1.257446766E0
5.096848000E-1,7.712924480E-2,-3.681888580E-1,-1.351668358E0
5.197516210E-1,8.144879341E-2,-3.379688263E-1,-1.383263588E0
5.297395320E-1,6.284332275E-2,-6.338791847E-1,-1.458773613E0
5.396984870E-1,-5.158181190E-1,-4.367051125E-1,-1.208552361E0
5.496794650E-1,-1.359646797E0,2.342424393E-1,-7.531886101E-1
5.621484540E-1,-1.205575228E0,-1.583976746E-1,-3.372368813E-1
5.796884430E-1,-6.907238960E-1,-4.719038010E-1,-1.664137840E-1
5.897184430E-1,-7.350869179E-1,-5.870475769E-1,-7.142019272E-2
5.996984430E-1,-1.646699905E-1,-1.024366379E0,-1.411194801E-1
6.097104430E-1,3.168108463E-1,-1.584874153E0,4.870767593E-1
6.199274430E-1,-3.936777115E-1,-8.263268471E-1,-1.062726974E-1
