"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.154783400E-2,-2.797961235E-3,-2.848067284E-1,-2.757010460E-1
8.163295900E-2,-4.014708847E-2,-6.236553192E-2,-9.012098312E-1
9.228652100E-2,5.014203489E-2,-7.203960419E-2,-7.485399246E-1
1.019913020E-1,2.406899631E-1,-3.055706024E-1,-3.355035782E-1
1.118591930E-1,2.852235138E-1,-3.859958649E-1,2.688217163E-2
1.218416380E-1,2.496460080E-1,-8.619880676E-2,4.391050339E-2
1.320603610E-1,1.490895450E-1,-9.218406677E-2,2.665710449E-1
1.420677220E-1,3.656207025E-2,-1.640100479E-1,3.252291679E-1
1.519189030E-1,-8.195091784E-2,-2.071056366E-1,3.300175667E-1
1.619464930E-1,-2.303914279E-1,-2.106971741E-1,2.701625824E-1
1.718477880E-1,-2.791343331E-1,-1.674404144E-1,2.830681801E-1
1.817759360E-1,-2.511016130E-1,-1.604080200E-1,1.941318512E-1
1.917675100E-1,-1.801961809E-1,-1.503210068E-1,1.431446075E-1
2.017092970E-1,-1.225022003E-1,-1.130657196E-1,1.393637657E-1
2.117106900E-1,-7.672288269E-2,-1.180548668E-1,8.802032471E-2
2.216993870E-1,-1.295176335E-2,-1.315908432E-1,6.558561325E-2
2.317052350E-1,4.052103311E-2,-1.299018860E-1,-2.274036407E-3
2.417661590E-1,2.443520725E-2,-1.190295219E-1,-7.171106339E-2
2.517691210E-1,2.274009399E-2,-1.018605232E-1,-8.008432388E-2
2.617266020E-1,6.572394073E-2,-9.562683105E-2,-9.946393967E-2
2.717678430E-1,2.851319686E-2,-7.192897797E-2,-1.053748131E-1
2.817499630E-1,-5.914353207E-2,-1.090288162E-2,-4.765367508E-2
2.917270230E-1,-7.628631592E-2,-1.322698593E-2,5.890464783E-2
3.017470530E-1,-4.438749701E-2,-1.871252060E-2,1.191573143E-1
3.117235680E-1,-2.334581688E-3,-2.270269394E-2,7.867813110E-5
3.217493260E-1,6.147183105E-2,-6.753158569E-2,-1.170182228E-1
3.318172050E-1,6.619469076E-2,-5.353975296E-2,-1.580524445E-1
3.417551440E-1,8.370645344E-3,-2.142190933E-2,-1.936240196E-1
3.517686140E-1,-7.232442498E-2,-2.875757217E-2,-2.137656212E-1
3.620598490E-1,-1.758191586E-1,-4.166555405E-2,-2.199783325E-1
3.718644660E-1,-2.510675788E-1,-4.906463623E-2,-2.412157059E-1
3.818262750E-1,-2.508431077E-1,-8.152675629E-2,-2.575273514E-1
3.918446790E-1,-1.601749361E-1,-9.832286835E-2,-1.576728821E-1
4.017833810E-1,-5.968618765E-2,-1.327719688E-1,-7.350015640E-2
4.117537320E-1,5.950769037E-2,-1.943464279E-1,-2.845764160E-3
4.218559080E-1,1.256759316E-1,-2.130703926E-1,6.927633286E-2
4.318429960E-1,1.543475389E-1,-2.128906250E-1,6.977128983E-2
4.419785400E-1,1.368568242E-1,-1.858940125E-1,1.233100891E-2
4.518753120E-1,1.372197270E-1,-1.538996696E-1,-1.014914513E-1
4.617821980E-1,1.381651163E-1,-1.577844620E-1,-1.672749519E-1
4.718761410E-1,1.056479514E-1,-1.856069565E-1,-1.992554665E-1
4.818551120E-1,7.041063905E-2,-1.824231148E-1,-1.469340324E-1
4.917895980E-1,8.871361613E-2,-1.966228485E-1,-4.218959808E-2
5.017323410E-1,1.410365105E-1,-2.572493553E-1,1.835083961E-1
5.117572120E-1,2.036395371E-1,-2.865819931E-1,3.972396851E-1
5.217301480E-1,2.268976718E-1,-3.084416389E-1,5.844211578E-1
5.317676160E-1,2.082117349E-1,-3.319077492E-1,6.295785904E-1
5.417443500E-1,1.073989645E-1,-2.895855904E-1,6.087894440E-1
5.517392170E-1,2.286139131E-2,-2.872714996E-1,5.212578773E-1
5.618826500E-1,-4.689179361E-2,-2.651519775E-1,3.370876312E-1
5.718118670E-1,-1.426348984E-1,-2.124948502E-1,2.345914841E-1
5.817759750E-1,-2.508154511E-1,-1.541428566E-1,6.088876724E-2
5.917490290E-1,-2.522822618E-1,-1.652560234E-1,-1.231861115E-2
6.017630560E-1,-2.680075765E-1,-1.151027679E-1,-1.253733635E-1
6.118060700E-1,-2.342054248E-1,-9.550619125E-2,-1.394119263E-1
6.217645770E-1,-1.973783672E-1,-9.540176392E-2,-1.324610710E-1
6.317693300E-1,-1.757539809E-1,-9.786701202E-2,-8.357620239E-2
6.418222070E-1,-1.322849989E-1,-8.168745041E-2,-1.744604111E-2
6.517776450E-1,-1.031964719E-1,-9.033918381E-2,-3.192710876E-2
6.617503640E-1,-1.122198701E-1,-7.726478577E-2,-7.796382904E-2
6.719102240E-1,-1.521143913E-1,-4.219865799E-2,-1.690373421E-1
6.818121540E-1,-1.828469634E-1,-2.422094345E-2,-1.821684837E-1
