"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
6.798501700E-2,0.000000000E0,0.000000000E0,0.000000000E0
7.308501700E-2,1.249074936E-2,-6.004810333E-3,5.855941772E-2
7.818501700E-2,-6.919384003E-3,2.120494843E-3,1.238126755E-1
8.328501700E-2,-1.123905182E-2,5.298423767E-2,1.955432892E-1
8.838501700E-2,-6.838750839E-2,1.636981964E-1,2.238674164E-1
9.348501700E-2,-9.418320656E-2,1.884531975E-1,1.804800034E-1
9.858501700E-2,-6.459283829E-2,1.100835800E-1,8.066177368E-3
1.036850170E-1,2.065634727E-2,-3.762578964E-2,-2.316904068E-1
1.087850170E-1,2.123832703E-3,-1.579251289E-1,-4.497299194E-1
1.138850170E-1,-3.281426430E-2,-1.905832291E-1,-5.589294434E-1
1.189850170E-1,4.981243610E-2,-2.460694313E-1,-9.550557137E-1
1.240850170E-1,-2.180351019E-1,3.045415878E-2,-1.506680012E0
1.291523610E-1,-4.821320772E-1,2.951297760E-1,-1.713071346E0
1.342174130E-1,-4.793680906E-1,3.921332359E-1,-1.800512791E0
1.392824650E-1,-6.485223770E-1,5.799093246E-1,-1.763647556E0
1.443475170E-1,-7.608255148E-1,6.834583282E-1,-1.496647358E0
1.494475170E-1,-8.209011555E-1,7.579002380E-1,-1.330053806E0
1.545475170E-1,-8.622376919E-1,8.902850151E-1,-8.713402748E-1
1.596475170E-1,-8.314080238E-1,9.645948410E-1,-4.226217270E-1
1.647475170E-1,-7.538132668E-1,1.147674084E0,-1.213130951E-1
1.698294440E-1,-5.786775351E-1,1.215832233E0,3.520174026E-1
1.749103820E-1,-3.446096182E-1,1.183693409E0,6.127538681E-1
1.799912670E-1,1.029002666E-1,1.040625572E0,8.046493530E-1
1.850722570E-1,5.255382061E-1,6.885075569E-1,8.214788437E-1
1.900908510E-1,8.324322701E-1,2.053980827E-1,6.804876328E-1
1.951590800E-1,1.109419823E0,-3.351883888E-1,3.910903931E-1
2.002272570E-1,1.252763629E0,-7.463986874E-1,5.539512634E-2
2.052954860E-1,1.046631098E0,-9.432988167E-1,-2.097320557E-2
2.103513190E-1,5.695327520E-1,-9.396715164E-1,1.530160904E-1
2.154170480E-1,1.197689772E-1,-7.842512131E-1,5.230360031E-1
2.204827260E-1,-3.416572809E-1,-4.919695854E-1,9.725885391E-1
2.255483510E-1,-7.458747625E-1,-9.506106377E-2,1.360901833E0
2.304574130E-1,-1.139463782E0,3.684129715E-1,1.607925415E0
2.354911630E-1,-1.426364064E0,7.432806492E-1,1.730418205E0
2.405249130E-1,-1.637277365E0,1.072361708E0,1.719110489E0
2.455587150E-1,-1.723160863E0,1.325063229E0,1.540519714E0
2.506587150E-1,-1.735306501E0,1.481628895E0,1.291760445E0
2.557587150E-1,-1.718889117E0,1.539787292E0,9.978132248E-1
2.608317880E-1,-1.608211040E0,1.474695921E0,8.084926605E-1
2.658905900E-1,-1.317627549E0,1.345989704E0,7.065687180E-1
2.709905900E-1,-9.794141054E-1,1.146753073E0,6.098060608E-1
2.760905900E-1,-6.532016993E-1,9.163269997E-1,5.081577301E-1
2.811905900E-1,-3.802114725E-1,6.744809151E-1,5.225467682E-1
2.862905900E-1,-1.025973558E-1,4.360523224E-1,6.074867249E-1
