"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.298280900E-2,2.014262676E-1,-4.922790527E-1,-4.589471817E-1
5.969130900E-2,4.577894211E-1,-4.273624420E-1,-5.953679085E-1
7.224105900E-2,3.662126064E-1,-4.773392677E-1,-2.602782249E-1
8.340593400E-2,1.362147331E-1,-3.723368645E-1,-4.532194138E-2
9.431037100E-2,2.843880653E-2,-3.624606133E-1,-2.319321632E-1
1.044245900E-1,8.191871643E-2,-2.320523262E-1,-1.372556686E-1
1.145906990E-1,1.756176949E-1,-2.108416557E-1,-6.720447540E-2
1.246877540E-1,1.121325493E-1,-2.561655045E-1,-1.346893311E-1
1.348452810E-1,5.833172798E-2,-1.812396049E-1,-2.225832939E-1
1.447250450E-1,1.026959419E-1,-1.848263741E-1,-3.342223167E-1
1.547819270E-1,1.265599728E-1,-1.056771278E-1,-2.725319862E-1
1.646568680E-1,4.174828529E-2,-1.879601479E-1,-3.309297562E-1
1.749158380E-1,1.522536278E-1,-8.432054520E-2,-1.123604774E-1
1.857183230E-1,2.973330021E-1,-1.777935028E-2,9.339189529E-2
1.952415660E-1,1.469104290E-1,-1.549882889E-1,8.731603622E-2
2.049556870E-1,-1.911854744E-2,7.861423492E-2,1.239695549E-1
2.147917480E-1,7.845306396E-2,2.579512596E-1,2.807517052E-1
2.248587780E-1,3.710739613E-1,-6.201362610E-2,2.562270164E-1
2.347282930E-1,5.414265394E-1,-1.602654457E-1,1.869182587E-1
2.446805510E-1,3.737900257E-1,-7.236957550E-3,4.833865166E-1
2.546476800E-1,3.007721901E-2,2.282652855E-1,7.382731438E-1
2.646187440E-1,-8.839678764E-2,2.890095711E-1,9.119367599E-1
2.746042760E-1,-2.365088463E-2,2.721261978E-1,9.005575180E-1
2.845875420E-1,1.578290462E-1,1.662511826E-1,7.036900520E-1
2.945611750E-1,2.900434732E-1,3.056383133E-2,5.206160545E-1
3.045239920E-1,4.109227657E-1,-8.876895905E-2,7.567467690E-1
3.145909000E-1,4.286259413E-1,-2.536864281E-1,6.167998314E-1
3.245828540E-1,6.149903536E-1,-4.174089432E-2,1.290582180E0
3.346028310E-1,4.811630249E-1,4.611139297E-1,1.561243534E0
3.446208200E-1,-1.930222511E-1,1.393530846E0,1.415090561E0
3.545458140E-1,-6.355473995E-1,1.498687267E0,8.842878342E-1
3.646023110E-1,-5.607862473E-1,1.315263271E0,4.604053497E-1
3.747460600E-1,4.755307436E-1,3.616285324E-1,2.594418526E-1
3.846164340E-1,8.121443987E-1,-3.999500275E-1,-1.584100723E-1
3.947601210E-1,8.327829838E-1,-3.260121346E-1,-4.723558426E-1
4.048454650E-1,2.395648241E0,-1.012720108E0,-7.914624214E-1
4.150246370E-1,2.235518456E0,-1.776886940E0,-4.976363182E-1
4.248472230E-1,1.903202653E0,-1.710142136E0,3.702774048E-1
4.347500160E-1,2.187645197E0,-1.183301449E0,1.194391251E-1
4.454224120E-1,1.917317033E0,-1.342475891E0,-2.161068916E-1
4.551061100E-1,2.141652822E0,-2.239686966E0,1.014223099E-1
4.648379590E-1,2.812007427E0,-2.527784586E0,5.529022217E-1
4.753778840E-1,2.865069866E0,-2.593582630E0,6.486883163E-1
4.849968460E-1,2.456525087E0,-2.411719084E0,8.219699860E-1
4.948128270E-1,1.987930059E0,-1.524650574E0,1.034341812E0
5.052353180E-1,1.521038651E0,-9.965662956E-1,8.345193863E-1
5.149775630E-1,8.999478221E-1,-7.791423798E-1,1.825122833E-1
5.247756860E-1,7.458829880E-1,-7.464842796E-1,-2.515649796E-1
5.348052470E-1,7.019915581E-1,-6.413893700E-1,-9.337172508E-1
5.447480280E-1,7.505082488E-1,-6.846804619E-1,-1.715389729E0
5.547939180E-1,9.244520664E-1,-6.500205994E-1,-2.235171795E0
5.648293630E-1,1.418190002E0,-8.654952049E-1,-1.723024845E0
5.746580860E-1,1.271461606E0,-6.368355751E-1,-1.033183098E0
5.852254470E-1,1.052312255E0,-2.932434082E-1,-4.710292816E-1
5.950176280E-1,1.115638971E0,-5.799531937E-2,-7.500934601E-2
6.048662180E-1,1.440930128E0,-7.798337936E-2,4.386892319E-1
6.147070130E-1,1.242800832E0,-1.016211510E-1,-7.191252708E-1
6.246304110E-1,1.221294522E0,-6.276416779E-2,-1.388316154E0
6.346401100E-1,1.037350297E0,-4.940776825E-1,-8.665428162E-1
6.445904590E-1,3.970946074E-1,-5.281414986E-1,-3.531208038E-1
6.545971340E-1,-1.742381155E-1,-4.440279007E-1,-4.653015137E-1
6.645744710E-1,-3.981434107E-1,-4.505286217E-1,-7.159976959E-1
6.745971400E-1,-3.177111745E-1,-4.239525795E-1,-8.216581345E-1
6.845484740E-1,-1.668809652E-1,-3.598928452E-1,-8.348069191E-1
6.946246410E-1,2.115500271E-1,-1.635756493E-1,-9.295125008E-1
7.048217250E-1,8.676093817E-1,-5.903530121E-2,-8.443665504E-1
7.146867670E-1,1.325324059E0,9.660720825E-2,-6.439342499E-1
