"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.945733100E-2,-5.277204514E-1,9.315519333E-1,1.459561825E0
5.520120600E-2,-5.241034031E-1,8.866777420E-1,1.649256706E0
6.816064300E-2,-4.651689529E-1,7.686715126E-1,1.706808567E0
7.957486200E-2,-3.281817436E-1,6.034741402E-1,1.531154156E0
9.030947100E-2,-1.850583553E-1,3.986215591E-1,9.047231674E-1
1.006167760E-1,7.452440262E-2,1.253128052E-3,4.771013260E-1
1.109304280E-1,1.882781982E-1,1.319537163E-1,1.316404343E-1
1.214882540E-1,1.228392124E-1,1.146521568E-1,-1.949310303E-2
1.312326670E-1,-6.306791306E-2,1.740398407E-1,4.857740402E-1
1.411563740E-1,5.355639458E-1,2.040748596E-1,8.912334442E-1
1.511487270E-1,6.255537271E-1,6.100416183E-2,1.026700020E0
1.611479040E-1,-3.977174759E-1,2.067887783E0,-3.552532196E-2
1.713114920E-1,-7.424600124E-1,3.178288937E0,-1.226511002E-1
1.811112860E-1,-1.037924051E0,2.844085693E0,-7.286987305E-1
1.910261830E-1,-6.464105844E-1,1.973592758E0,-8.884701729E-1
2.011286320E-1,8.845562935E-1,2.584280968E-1,-2.071533203E-1
2.110883560E-1,1.994016409E0,-9.508428574E-1,-8.730697632E-1
2.209992180E-1,3.063595295E0,-2.098521709E0,-1.814148903E0
2.310006490E-1,4.141320705E0,-3.007112026E0,-2.919130802E0
2.412968650E-1,5.248366833E0,-3.288286448E0,-3.072039127E0
2.511449730E-1,5.289246559E0,-3.631573200E0,-2.669984341E0
2.611395270E-1,4.779879570E0,-3.932033062E0,-2.105255604E0
2.710708040E-1,1.617831826E0,-2.551547289E0,-1.891463280E0
2.810719420E-1,7.237585783E-1,-2.162500620E0,-1.446337700E0
2.919835110E-1,-2.136257172E0,-1.978955507E0,3.741017342E0
3.014572960E-1,2.698071003E0,-1.768305540E0,7.698059082E-2
3.112671880E-1,8.649356365E-1,-2.340738297E0,3.696041107E-1
3.210921340E-1,-3.537896872E-1,-1.672651291E0,-8.907775879E-1
3.310411070E-1,-3.861455917E-1,-1.302228212E0,-1.591834545E0
3.409665940E-1,-4.285422564E-1,-1.620608330E0,-1.157857418E0
3.509773370E-1,-8.171690702E-1,-1.308543682E0,-4.907903671E-1
3.621072090E-1,-1.951403856E0,-1.008946896E0,8.032608032E-2
3.715441450E-1,-3.099117756E0,4.435729980E-2,-9.162330627E-2
3.812416130E-1,-3.433539391E0,8.194985390E-1,-5.411500931E-1
3.910843470E-1,-3.505383492E0,1.272056103E0,-6.300287247E-1
4.010052140E-1,-3.625947714E0,1.222477436E0,-7.592072487E-1
4.115326470E-1,-3.946495056E0,1.065279961E0,-1.166529179E0
4.212133640E-1,-3.625128031E0,1.128641129E0,-1.272893429E0
4.311687220E-1,-3.160950184E0,7.623004913E-1,-1.313068867E0
4.410354010E-1,-2.996965170E0,8.872213364E-1,-1.472373486E0
4.509912410E-1,-2.742365837E0,9.755387306E-1,-1.474852562E0
4.609561610E-1,-2.577262402E0,9.159493446E-1,-1.176406384E0
4.709991210E-1,-2.467049360E0,7.805500031E-1,-8.887510300E-1
4.812871010E-1,-2.332561731E0,6.204442978E-1,-8.988394737E-1
4.911455910E-1,-2.278919458E0,6.482825279E-1,-7.627592087E-1
5.010533360E-1,-2.415538311E0,7.530708313E-1,-5.622682571E-1
5.109937080E-1,-2.569569588E0,8.259735107E-1,-1.306886673E-1
5.209978940E-1,-2.782369137E0,1.060528278E0,6.759099960E-1
5.312989870E-1,-2.707513094E0,1.013610363E0,3.761396408E-1
5.411055340E-1,-2.531462669E0,9.393463135E-1,-1.922283173E-1
5.511043070E-1,-2.298666716E0,9.574341774E-1,-1.883888245E-1
5.610191940E-1,-2.161806345E0,8.920245171E-1,-1.306152344E-2
5.709681370E-1,-2.119167566E0,8.035054207E-1,-1.493244171E-1
5.811391090E-1,-1.981622577E0,7.924733162E-1,-6.395759583E-1
5.911140950E-1,-1.668406487E0,9.562668800E-1,-8.382205963E-1
6.010265880E-1,-1.879877090E0,1.196444988E0,-7.163476944E-1
6.111843340E-1,-3.691033125E0,1.785051823E0,-2.355365753E-1
6.210512070E-1,-3.592583656E0,1.804029465E0,-2.629222870E-1
6.310816440E-1,-3.556381941E0,8.161945343E-1,9.553775787E-1
6.410223620E-1,-3.603084326E0,1.209660053E0,8.031396866E-1
6.510692210E-1,-3.257920265E0,1.554604053E0,9.553174973E-1
6.625936510E-1,-2.681812286E0,1.557366133E0,1.589080811E0
6.717488660E-1,-2.108485699E0,1.452899456E0,1.842464447E0
6.813284730E-1,-1.641414881E0,1.454607248E0,1.761818886E0
6.913592770E-1,-1.496144056E0,1.604963779E0,1.480287552E0
7.011356790E-1,-1.679309130E0,1.782247066E0,1.053554535E0
7.111848800E-1,-1.994443297E0,1.906542778E0,5.565519333E-1
7.211614800E-1,-2.341174841E0,1.994522095E0,1.361160278E-1
7.310302800E-1,-2.720593214E0,2.146341801E0,-2.423334122E-1
7.448891800E-1,-2.920594215E0,2.349658012E0,-2.765340805E-1
7.615440810E-1,-2.618972301E0,2.112115383E0,-2.810811996E-1
7.709230810E-1,-2.136540651E0,1.526732922E0,5.054140091E-1
7.809250810E-1,-1.374723911E0,1.018943310E0,1.467821121E0
7.909050810E-1,-5.590656996E-1,7.402477264E-1,2.840301514E0
