"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.860971100E-2,-1.089963913E-1,2.376055717E-1,2.682666779E-1
6.485083600E-2,-2.915129662E-1,3.055377007E-1,3.396439552E-1
7.755389800E-2,-4.253547192E-1,3.383922577E-1,4.622750282E-1
8.896292900E-2,-3.810062408E-1,3.443374634E-1,5.295720100E-1
9.960194500E-2,-3.588097095E-1,3.708596230E-1,5.717744827E-1
1.099199530E-1,-3.554475307E-1,4.039893150E-1,6.700105667E-1
1.203984570E-1,-2.986235619E-1,4.137048721E-1,8.160853386E-1
1.303807090E-1,-2.414457798E-1,4.499306679E-1,7.953214645E-1
1.403228350E-1,-1.681058407E-1,4.472208023E-1,7.892284393E-1
1.502828980E-1,-4.582619667E-2,4.393854141E-1,7.815022469E-1
1.602649290E-1,-2.235221863E-2,5.372118950E-1,7.921705246E-1
1.702559450E-1,7.576584816E-2,6.135697365E-1,7.979755402E-1
1.802829530E-1,1.214957237E-1,6.524763107E-1,7.830548286E-1
1.903429570E-1,3.207354546E-1,6.427001953E-1,6.594758034E-1
2.003374590E-1,6.018331051E-1,5.726289749E-1,5.108828545E-1
2.106082100E-1,6.214691401E-1,5.658054352E-1,5.583281517E-1
2.204950850E-1,5.684783459E-1,5.684127808E-1,7.040114403E-1
2.306350230E-1,4.226624966E-1,5.222883224E-1,9.594321251E-1
2.406819920E-1,2.692776918E-1,7.402648926E-1,1.588219166E0
2.505144760E-1,-2.313292027E-1,5.266852379E-1,1.818490982E0
2.603882180E-1,-3.254346848E-1,2.893991470E-1,1.963312626E0
2.703495890E-1,2.082670927E-1,6.585664749E-1,2.520627499E0
2.802977750E-1,-1.245992661E0,6.291232109E-1,2.721806526E0
2.902803680E-1,-1.221566439E0,1.014124393E0,3.099347591E0
3.002791640E-1,1.456085324E0,-1.527285576E-1,3.026376247E0
3.102995620E-1,3.185968637E0,-2.256378174E0,2.720006466E0
3.203042610E-1,-7.498897314E-1,-9.527449608E-1,1.025256157E0
3.303151110E-1,-3.865010738E-1,-8.814334869E-3,-4.417181015E-1
3.402930360E-1,1.911184907E0,-1.344665766E0,5.457496643E-2
3.503179980E-1,-5.397616625E-1,-4.210453033E-1,-1.513290405E-1
3.603499790E-1,2.321748495E0,-1.137594938E0,-8.151845932E-1
3.702729700E-1,1.514103651E0,-1.362744808E0,1.617469788E-1
3.803084650E-1,1.265977025E0,-1.460297108E0,-8.600916862E-1
3.920592130E-1,1.444913626E0,-1.850244522E0,-1.939706802E-1
4.011510870E-1,1.253055334E0,-1.748040676E0,-2.671508789E-1
4.107920240E-1,8.816308379E-1,-1.709495544E0,2.766036987E-2
4.205444920E-1,-1.999827325E-1,-1.919769287E0,-5.094070435E-1
4.303927260E-1,-2.793749869E-1,-1.133640766E0,-1.132760525E0
4.403283430E-1,9.345254898E-1,-1.353752375E0,-2.210738659E0
4.503146520E-1,7.787156105E-1,-4.824969769E-1,-1.994464397E0
4.604358060E-1,-8.197191954E-1,-1.414875984E0,-3.005441666E0
4.703748830E-1,-1.967284322E0,-1.132208109E0,-2.908348083E0
4.803839220E-1,-6.724166870E-1,-1.910610199E-1,-2.800567150E0
4.920529410E-1,-3.661106825E-1,4.165778160E-1,9.219169617E-2
5.011629510E-1,-2.781192660E-1,4.358181953E-1,8.329296112E-2
5.109049560E-1,-3.449301124E-1,-2.487199306E-1,5.019359589E-1
5.206254580E-1,1.114612222E-1,-1.335913897E0,1.077111244E0
5.304937090E-1,4.506727159E-1,-1.735751629E0,9.026288986E-1
5.403703350E-1,5.699825883E-1,-1.927742958E0,1.534678459E0
5.503391480E-1,4.754201174E-1,-1.762926817E0,3.385417938E0
5.612165540E-1,8.612262607E-1,-1.586814165E0,3.009948730E0
5.707282570E-1,1.727828383E0,-1.545006752E0,2.515535355E0
5.805071090E-1,4.090513706E0,-1.024296522E0,1.465254784E0
5.905010350E-1,4.251109123E0,-7.861375809E-1,1.009231567E0
6.004389980E-1,3.108145714E0,-7.365288734E-1,2.030401230E0
6.103524790E-1,1.477878571E0,-4.168715477E-1,8.624696732E-1
6.202822200E-1,-6.293133646E-2,-4.701330662E-1,1.261615753E-1
6.304330900E-1,-5.115316510E-1,-7.342054844E-1,3.425436020E-1
6.403465250E-1,-2.197404653E-1,-1.040767670E0,4.795551300E-1
6.504487430E-1,6.990678310E-1,-1.299607396E0,1.118888855E-1
6.603448520E-1,9.989407659E-1,-1.089162111E0,1.962823868E-1
6.702709060E-1,4.787501693E-1,-1.015069246E0,-8.719406128E-1
6.807664330E-1,-5.770303607E-1,-1.046479464E0,-1.162504196E0
6.905521970E-1,-1.415862083E0,-5.684611797E-1,-1.397072792E0
7.004075790E-1,-2.152855635E0,5.452401638E-1,-1.097285271E0
7.103192700E-1,-1.333044529E0,-3.411147594E-1,-1.638857365E0
7.203626150E-1,-1.442282677E0,-5.116491318E-1,-1.473291874E0
7.306537880E-1,-9.220685959E-1,-1.067013741E0,-1.592196465E0
7.404563740E-1,-5.754690170E-1,-1.511713028E0,-1.939581871E0
7.503516670E-1,-7.217744589E-1,-1.547955394E0,-2.173880577E0
7.608773140E-1,-8.909062147E-1,-1.329084516E0,-2.214203835E0
7.705426370E-1,-1.451718807E0,-8.650047779E-1,-1.960224628E0
7.804002990E-1,-1.698267460E0,-6.123902798E-1,-1.442019939E0
7.903981300E-1,-1.468352199E0,-7.734932899E-1,-1.072879314E0
8.003410450E-1,-1.333157897E0,-9.511649609E-1,-7.655172348E-1
8.103825030E-1,-1.370347500E0,-1.090295553E0,-6.019020081E-2
8.202877320E-1,-1.565870523E0,-1.112103105E0,7.869014740E-1
8.305008460E-1,-1.919131756E0,-8.937053680E-1,1.655248642E0
8.407149030E-1,-2.059610367E0,-1.212526917E0,2.600118637E0
8.506624320E-1,-1.613331199E0,-1.635752678E0,2.945017815E0
8.604656960E-1,-5.743982792E-1,-2.245499134E0,2.529452324E0
8.704203280E-1,1.616942883E-1,-2.412513733E0,2.490244865E0
8.810191440E-1,-6.934568882E-1,-8.945777416E-1,3.294097900E0
8.906420520E-1,-1.743398905E0,-3.458032608E-1,2.633428574E0
9.004605060E-1,-2.230648518E0,-9.266209602E-2,1.900732994E0
9.103652330E-1,-2.388423443E0,1.421828270E-1,1.945508003E0
9.203915970E-1,-2.529405355E0,1.614994764E0,3.956346512E0
9.305512790E-1,-3.336908340E0,2.763510227E0,3.987832069E0
9.404306200E-1,-2.606015921E0,1.465839863E0,3.504509926E0
9.504917900E-1,-1.951256752E0,2.131199837E-1,3.140025616E0
9.616803750E-1,3.579897881E-1,-1.601164341E0,2.935741901E0
9.709686680E-1,8.779001236E-2,-1.637480021E0,3.136513233E0
9.806293140E-1,4.678483009E-1,-1.835682988E0,3.001533985E0
9.907696370E-1,2.668304443E-1,-1.611070156E0,2.714594841E0
1.000509299E0,8.721351624E-2,-1.245227814E0,2.273149014E0
1.010462630E0,2.054648399E-1,-1.010471106E0,2.009401798E0
1.020404795E0,5.613594055E-1,-9.297971725E-1,1.977749825E0
1.030327378E0,8.433504105E-1,-7.589504719E-1,2.005136490E0
1.040289669E0,1.345856190E0,-2.890110016E-1,1.846544743E0
1.050280815E0,1.875327587E0,4.290013313E-1,1.428489685E-1
1.060256388E0,1.621727943E0,5.741195679E-1,-8.914813995E-1
1.070213674E0,1.423895836E0,6.536724567E-1,-1.918217182E0
1.080261317E0,1.184469700E0,6.445667744E-1,-2.379384756E0
1.090320639E0,1.090583324E0,2.813789845E-1,-2.372802734E0
1.100451800E0,1.428993225E0,-4.463860989E-1,-2.318428278E0
1.110339380E0,1.878374100E0,-1.068210363E0,-1.945250154E0
1.120260170E0,2.152923584E0,-1.484823942E0,-1.431420565E0
1.130405065E0,2.232031822E0,-1.770148516E0,-1.220769882E0
1.140329513E0,2.015049934E0,-2.094525576E0,-1.076313972E0
1.150407737E0,1.252971649E0,-2.335306168E0,-8.260018826E-1
1.160397349E0,1.464443207E-1,-2.403418541E0,-6.042389870E-1
1.170303655E0,-8.430566788E-1,-2.848157883E0,-7.278851271E-1
1.180291308E0,-1.815868378E0,-3.466739178E0,-9.227502346E-1
1.190271634E0,-2.481565475E0,-4.276003838E0,-1.066941381E0
