"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.595521000E-3,3.229045868E-2,-2.515182495E-1,-1.556968689E-1
3.023777100E-2,1.244673729E-1,-2.431387901E-1,-1.963982582E-1
4.602739600E-2,1.017224789E-1,-2.455329895E-1,-2.885751724E-1
5.895270800E-2,1.537094116E-1,-2.299637794E-1,-3.148355484E-1
7.080786400E-2,2.395501137E-1,-2.423005104E-1,-3.965077400E-1
8.136194200E-2,3.480546474E-1,-2.641324997E-1,-2.014489174E-1
9.169298100E-2,1.395938396E-1,-3.249664307E-1,-4.945025444E-1
1.017720010E-1,1.884953976E-1,-2.097744942E-1,-2.698764801E-1
1.118290110E-1,3.811743259E-1,-2.631540298E-1,-1.299891472E-1
1.219480160E-1,2.739338875E-1,-4.427571297E-1,-1.595854759E-1
1.318690180E-1,1.733250618E-1,-2.538771629E-1,-3.929514885E-1
1.419325190E-1,2.943949699E-1,-2.226114273E-1,-2.176113129E-1
1.519317700E-1,3.490314484E-1,-1.708025932E-1,3.521919250E-2
1.623323950E-1,2.783863544E-1,-2.821249962E-1,1.250872612E-1
1.721027080E-1,3.411667347E-1,-5.086851120E-2,3.005189896E-1
1.820098640E-1,4.266614914E-1,-2.618074417E-2,5.375614166E-1
1.923259420E-1,3.427491188E-1,8.649206161E-2,6.131157875E-1
2.021134810E-1,2.203183174E-1,-3.242206573E-2,6.034355164E-1
2.120487510E-1,-9.764623642E-2,3.578515053E-1,3.881821632E-1
2.219608860E-1,2.313575745E-1,2.441921234E-1,5.823454857E-1
2.318874530E-1,4.782671928E-1,1.687693596E-1,4.980549812E-1
2.419502370E-1,-2.062559128E-1,4.495964050E-1,-1.245360374E-1
2.518836290E-1,-4.058468342E-1,7.998337746E-1,5.904703140E-1
2.619433250E-1,-1.719937325E-1,7.409763336E-1,9.075722694E-1
2.718726730E-1,-3.758702278E-1,9.477434158E-1,8.991556168E-1
2.819223470E-1,-1.217103004E-2,7.913413048E-1,8.487906456E-1
2.918631840E-1,1.078121781E0,-2.838516235E-1,4.266920090E-1
3.018546020E-1,1.911957264E0,-9.426760674E-1,1.908297539E-1
3.123498110E-1,1.611759067E0,-6.416239738E-1,5.228290558E-1
3.222514160E-1,8.443526030E-1,-1.214203835E-1,9.159126282E-1
3.320872180E-1,1.375675201E-1,7.545900345E-2,1.457244873E0
3.425071190E-1,-4.626542330E-1,1.886830330E-1,2.059357643E0
3.521470700E-1,-5.550775528E-1,5.035576820E-1,2.768554211E0
3.625295450E-1,-6.259480715E-1,1.206912994E-1,2.937781811E0
3.721587830E-1,-5.168819427E-1,2.214488983E-1,3.056014061E0
3.821144020E-1,1.132861376E-1,-4.930520058E-1,3.609890461E0
3.923737110E-1,7.727010250E-1,-1.461197376E0,4.333076477E0
4.021228660E-1,1.286508918E0,-2.234900951E0,4.319932938E0
4.119774430E-1,1.703449965E0,-2.597033501E0,4.046319962E0
4.219157320E-1,1.825270176E0,-2.519114017E0,3.597248077E0
4.318663760E-1,8.080323935E-1,-9.612836838E-1,2.745431900E0
4.419341980E-1,-7.001653910E-1,-6.271266937E-1,2.018535137E0
4.518666090E-1,-1.504705548E0,-8.434662819E-1,1.746094227E0
4.622193150E-1,-1.625418782E0,-4.916229248E-1,1.384444714E0
4.720236680E-1,-1.218334198E0,-3.377566338E-1,1.070357323E0
4.819718440E-1,1.450207829E-1,-1.575498581E-1,1.020830631E0
4.937154320E-1,-2.401652932E-1,-1.681420326E0,9.596538544E-1
5.027982260E-1,6.768139601E-1,-2.307503939E0,4.820108414E-1
5.122846230E-1,1.095696688E0,-1.301043034E0,1.295892239E0
5.220343220E-1,2.057198286E-1,-3.541607380E0,-9.082379341E-1
5.319216710E-1,3.050777912E0,-2.513529539E0,-1.832075119E0
5.419393460E-1,3.239070177E0,-3.606018305E0,-3.152901173E0
5.518786830E-1,2.116148233E0,-5.403887749E0,-2.601911068E0
5.620578520E-1,2.707850218E0,-5.321545601E0,-1.296263218E0
5.719444360E-1,4.936402798E0,-4.900588989E0,3.015317917E-1
5.820107280E-1,4.175845146E0,-5.811687469E0,1.584992409E-1
5.919108740E-1,2.669636488E0,-5.127884865E0,2.273921967E-1
6.018719470E-1,2.559196234E0,-4.701030731E0,7.499160767E-1
6.118559840E-1,1.244996428E0,-3.166260719E0,1.736206055E0
6.218825020E-1,-3.552572131E-1,-1.901561260E0,2.885341644E0
6.319157610E-1,-7.510089874E-1,-1.917283535E0,2.998426437E0
6.418788910E-1,-6.329501271E-1,-1.933922291E0,1.424968719E0
6.521419560E-1,-3.225630820E-1,-1.828107357E0,-3.446793556E-1
6.620839880E-1,-2.081055045E-1,-1.860658407E0,-1.474075794E0
6.721480040E-1,-3.427517414E-1,-2.380096674E0,-2.190713882E0
6.820815120E-1,-4.513964355E-1,-2.526561499E0,-2.360342979E0
6.919702660E-1,-4.407654107E-1,-2.392660856E0,-2.233598232E0
7.020461430E-1,-7.642287016E-1,-2.016474962E0,-1.818303585E0
7.119275820E-1,-1.130223870E0,-1.489368677E0,-1.314846039E0
7.219383010E-1,-1.438753366E0,-1.050129652E0,-7.911577225E-1
7.318801610E-1,-1.883334637E0,-4.206147194E-1,1.680727005E-1
7.419125910E-1,-1.727601528E0,5.460376740E-1,2.040710449E-1
7.522923060E-1,-8.788412809E-1,1.449991226E0,-1.521346569E0
7.623361630E-1,-8.000494242E-1,1.469189167E0,-1.085629463E0
7.720840920E-1,6.118951440E-1,-2.862629890E-1,-1.096844673E0
7.820555560E-1,1.590408802E0,-1.127525330E0,-2.004319191E0
7.920402880E-1,1.434669733E0,-1.004918337E0,-1.706181049E0
8.019596540E-1,1.323025107E0,-9.327132702E-1,-1.215146542E0
8.118828370E-1,1.287159801E0,-1.231918097E0,-1.289436340E0
8.219239290E-1,1.098812222E0,-9.861440659E-1,-7.614479065E-1
8.318899750E-1,1.712697744E0,-1.858578682E0,2.799081802E-1
8.418779980E-1,1.397436380E0,-1.911768913E0,6.646947861E-1
8.518455090E-1,7.958149314E-1,-1.586236000E0,1.252666473E0
8.624327650E-1,4.382380247E-1,-1.639353395E0,1.859033585E0
8.721878930E-1,2.755912542E-1,-1.610688686E0,1.885201454E0
8.821184570E-1,1.861176491E-1,-1.503277421E0,1.609016418E0
8.920362390E-1,2.166612148E-1,-1.263818502E0,1.206698418E0
9.027151300E-1,1.748995781E-1,-9.314075708E-1,7.107648849E-1
9.124220750E-1,1.838818789E-1,-7.765992880E-1,9.488773346E-1
9.223155480E-1,1.257564068E0,-9.981513023E-1,1.306830406E0
9.320722840E-1,1.706220984E0,-1.010486960E0,1.245896339E0
9.420246520E-1,1.614518404E0,-6.651493311E-1,1.477450371E0
9.519298360E-1,1.631889820E0,-6.854743958E-1,2.076015472E0
9.622989280E-1,1.448067665E0,-8.416208029E-1,2.154448509E0
9.723724740E-1,1.032560349E0,-8.600661755E-1,2.307907104E0
9.821117470E-1,-5.714988708E-2,-1.001998425E0,2.558000565E0
9.920003840E-1,-1.179341078E0,-6.992015839E-1,3.659254074E0
1.001937202E0,-1.584515810E0,-3.862572908E-1,4.747936249E0
1.011879111E0,-1.896964788E0,-7.797659039E-1,4.887722969E0
1.021843566E0,-1.732936144E0,-5.307132006E-1,5.253427505E0
1.031892793E0,-1.445223808E0,-6.719732285E-2,5.646682739E0
1.041945407E0,-1.547954321E0,8.303296566E-2,5.987540245E0
1.051870214E0,-1.265265942E0,-4.364490509E-1,6.481369972E0
1.062061617E0,-1.218055248E0,-7.470332384E-1,5.991775513E0
1.071939819E0,-8.046414852E-1,-1.163638115E0,5.009976387E0
1.081955420E0,-3.226881027E-1,-1.562531471E0,3.782560349E0
1.091886720E0,3.376430273E-1,-1.675238967E0,2.437192917E0
1.101968870E0,9.710389972E-1,-1.709472418E0,1.036492348E0
1.111892445E0,1.332295775E0,-1.771310687E0,1.566247940E-1
1.121870233E0,1.265895844E0,-1.808378220E0,-3.061294556E-1
1.131853627E0,9.632750154E-1,-1.858324409E0,-3.619565964E-1
1.141933824E0,5.871488452E-1,-1.899704456E0,6.614589691E-2
1.151871422E0,2.196491361E-1,-1.929171920E0,6.299438477E-1
1.161891221E0,-1.912496090E-1,-1.999082088E0,1.097254753E0
1.172041621E0,-5.201953650E-1,-2.248253345E0,1.450099945E0
1.181954821E0,-5.580961704E-1,-2.694849253E0,1.612515450E0
1.191947421E0,-5.486729145E-1,-3.006690979E0,1.653204918E0
1.202027721E0,-6.880202293E-1,-3.109323025E0,1.166712761E0
1.212055371E0,-8.956781626E-1,-3.213186264E0,1.886119843E-1
1.221921196E0,-1.005027771E0,-3.566791773E0,-8.412694931E-1
1.232060108E0,-1.223153710E0,-3.814340591E0,-1.665704727E0
1.242027564E0,-1.420994520E0,-3.706121206E0,-1.821260929E0
1.252197792E0,-1.599539757E0,-3.250567913E0,-1.598902702E0
1.262095906E0,-1.758626223E0,-2.931729794E0,-1.731127739E0
1.271933963E0,-1.704954863E0,-2.816410065E0,-2.209569931E0
1.281903992E0,-1.579908848E0,-2.697864056E0,-2.600640297E0
1.291860006E0,-1.504958630E0,-2.556775331E0,-2.282720566E0
1.301863513E0,-1.425459623E0,-2.372493267E0,-1.526410103E0
1.312351767E0,-1.284044504E0,-2.348366261E0,-1.680333138E0
1.322227394E0,-8.304700851E-1,-2.928692341E0,-1.937174320E0
