"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.550791900E-2,-4.644393921E-3,1.674556732E-2,1.906824112E-2
7.108191900E-2,1.075243950E-2,6.296348572E-2,2.130985260E-1
8.391191900E-2,1.288046837E-1,-2.742767334E-3,1.932544708E-1
9.527191900E-2,1.584110260E-1,-4.966783524E-2,1.840524673E-1
1.060199190E-1,1.239842176E-1,-4.052782059E-2,2.604808807E-1
1.163849190E-1,1.383687258E-1,-4.746246338E-2,2.836556435E-1
1.266099190E-1,1.577023268E-1,-4.912614822E-2,1.620688438E-1
1.366274190E-1,1.773709059E-1,-5.240774155E-2,5.455636978E-2
1.466551690E-1,-1.173925400E-1,7.339477539E-3,2.124109268E-1
1.571780440E-1,-7.215596437E-1,2.959308624E-1,5.541300774E-1
1.683169810E-1,-7.868492603E-1,3.017568588E-1,3.754196167E-1
1.787029500E-1,-5.424309969E-1,2.948732376E-1,2.200107574E-1
1.966359190E-1,-2.421030998E-1,2.295660973E-1,4.296050072E-1
2.066759190E-1,-4.906952381E-2,1.613206863E-1,5.975880623E-1
2.166749190E-1,-2.694416046E-2,1.650280952E-1,5.496163368E-1
2.276879190E-1,-7.475388050E-2,2.801828384E-1,3.641829491E-1
2.367859190E-1,-2.437777519E-1,3.828883171E-1,1.883182526E-1
2.466779190E-1,4.775607586E-2,4.954776764E-1,7.658863068E-2
2.568809190E-1,-2.683271170E-1,3.426175117E-1,-1.646184921E-1
2.669939190E-1,-4.058349133E-1,6.368775368E-1,4.436540604E-2
2.767289190E-1,-2.725434303E-2,3.309936523E-1,-3.274726868E-2
2.866529190E-1,2.925745249E-1,2.327728271E-2,9.375143051E-2
2.970859190E-1,1.779356003E0,-5.840945244E-1,1.269857407E0
3.066579190E-1,1.125266314E0,-6.175694466E-1,1.261891842E0
3.183279190E-1,-5.761687756E-1,-1.253681183E0,2.272253513E0
3.266579190E-1,-1.747238994E0,-6.306209564E-1,3.023478985E0
3.367329190E-1,-8.925426006E-2,-6.581544876E-1,4.512672901E0
3.466249190E-1,1.228364587E0,-1.673614502E0,3.612524509E0
3.570709190E-1,-1.588034630E-2,-1.791752100E0,3.092497349E0
3.667889190E-1,2.198503256E0,-1.226638794E0,1.981374741E0
3.771109190E-1,2.342597246E-1,-2.321401119E0,1.786228180E0
3.866599190E-1,2.414313555E-1,-1.918883085E0,4.771780968E-1
3.967629190E-1,3.854802847E-1,-1.951653957E0,6.900644302E-2
4.068619190E-1,-4.231276512E-1,-2.364809275E0,-1.027760506E-1
4.167089190E-1,5.811043978E-1,-1.812784910E0,-1.423358917E-1
4.266439190E-1,6.064282656E-1,-2.213999987E0,3.696956635E-1
4.366429190E-1,7.659239769E-1,-2.210550785E0,-1.043238640E-1
4.466189190E-1,7.503827810E-1,-1.963178873E0,1.092815399E-2
4.566399190E-1,8.852685094E-1,-2.011777878E0,-4.888916016E-2
4.666289190E-1,1.132786512E0,-1.990482569E0,-4.675507545E-1
4.766459190E-1,1.028708458E0,-1.848708630E0,-9.126296043E-1
4.866449190E-1,1.176411152E0,-1.784569502E0,-1.261962891E0
4.966079190E-1,9.818276167E-1,-1.865219355E0,-1.443317413E0
