"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.536625100E-2,1.217365265E-2,-1.915454865E-2,-1.440286636E-2
5.115750100E-2,-2.821731567E-2,1.382827759E-3,8.783721924E-2
6.453262600E-2,-2.544784546E-2,-2.025127411E-2,1.642313004E-1
7.577618800E-2,6.153059006E-2,-6.416797638E-2,1.615967751E-1
8.639096900E-2,6.264877319E-2,-4.371881485E-2,9.431505203E-2
9.672186000E-2,5.293798447E-2,-2.795410156E-2,8.560800552E-2
1.067873050E-1,5.915594101E-2,-9.804248810E-3,5.579757690E-2
1.169205280E-1,1.598138809E-1,-8.381414413E-2,-1.473903656E-3
1.268951390E-1,2.209882736E-1,-1.236701012E-1,-4.790496826E-2
1.369339450E-1,1.610498428E-1,-6.294727325E-3,-5.678796768E-2
1.469613480E-1,2.206182480E-2,1.397633553E-1,3.310728073E-2
1.569660490E-1,-1.668930054E-1,2.919549942E-1,1.674675941E-1
1.675984000E-1,-7.985038757E-1,7.149682045E-1,8.272647858E-1
1.773005750E-1,-7.672348022E-1,7.476148605E-1,8.104562759E-1
1.871721630E-1,-3.594145775E-1,6.892061234E-1,1.428141117E0
1.979464570E-1,1.080265045E-1,5.199966431E-1,1.358893871E0
2.074061040E-1,1.630718708E-1,4.605426788E-1,1.423407078E0
2.171364270E-1,-5.498456955E-2,5.174813271E-1,1.470551014E0
2.269965890E-1,-2.930030823E-1,6.270914078E-1,1.308438301E0
2.369871700E-1,-1.188483715E0,1.769221783E0,1.522126675E0
2.477319600E-1,-1.552049160E0,1.694598198E0,2.856464386E-1
2.573573550E-1,-6.030392647E-1,7.501783371E-1,7.689127922E-1
2.671005530E-1,1.477249146E0,-7.221474648E-1,1.493640900E0
2.770131520E-1,1.041177750E0,-6.367192268E-1,3.688764572E-1
2.869854510E-1,-1.603257656E-1,8.187761307E-1,-2.376451492E-1
2.971686010E-1,1.486090541E0,1.486861706E0,-9.656929970E-1
3.070231760E-1,1.912327766E0,2.798695564E-1,-2.466727257E0
3.170099630E-1,1.335029960E0,1.709575653E-1,-2.309681416E0
3.271038570E-1,1.139383912E0,-1.235046387E-1,-1.736151695E0
3.370243040E-1,1.780101418E0,-5.728220940E-1,-1.248777866E0
3.469495270E-1,2.366677284E0,-9.382014275E-1,-9.096908569E-1
3.569596390E-1,2.571048260E0,-1.180020332E0,-8.163089752E-1
3.669081950E-1,2.557270288E0,-1.338004112E0,-8.241248131E-1
3.770629730E-1,2.422459602E0,-1.250580788E0,-6.827626228E-1
3.869688620E-1,2.125090599E0,-8.590321541E-1,-6.640558243E-1
3.969603060E-1,1.615564108E0,-5.779337883E-1,-5.697326660E-1
4.069115280E-1,8.975015879E-1,-2.363338470E-1,-5.061392784E-1
4.169026390E-1,2.640978098E-1,-1.285934448E-1,-4.063010216E-1
4.281451950E-1,-2.744414806E-1,1.489605904E-1,-1.958322525E-2
4.375189730E-1,-1.054113626E0,9.251480103E-1,-7.402133942E-1
4.471858620E-1,-3.942942619E-2,1.117909908E0,-1.094333649E0
4.570923060E-1,1.254984379E0,-6.989002228E-2,-1.397681713E0
4.669630280E-1,1.837024450E0,-8.698315620E-1,-1.815112591E0
4.775948890E-1,2.343942404E0,-1.354563236E0,-2.891122818E0
4.873673200E-1,2.336916685E0,-7.999815941E-1,-1.210690975E0
4.977595350E-1,1.224029183E0,2.128648758E-2,-1.108941555E0
5.073446430E-1,8.700055480E-1,-5.718898773E-2,-1.135243416E0
5.171846970E-1,1.089248419E0,-3.665070534E-1,-9.179883003E-1
5.270842240E-1,1.014795065E0,-4.636793137E-1,-9.136428833E-1
5.370004870E-1,8.041422367E-1,-4.682774544E-1,-6.360616684E-1
5.474611190E-1,1.210510492E0,-5.448293686E-2,4.929733276E-1
5.572019350E-1,7.816168070E-1,3.411169052E-1,8.282766342E-1
5.670438430E-1,-3.208297491E-1,9.274477959E-1,9.212732315E-1
5.770262970E-1,-1.115557075E0,2.165853500E0,1.451928139E0
5.870030240E-1,2.028697729E-1,4.553160667E-1,9.395294189E-1
5.970203870E-1,1.586565971E0,-8.466610909E-1,2.668161392E-1
6.069700690E-1,3.140148878E0,-1.462893248E0,-6.604208946E-1
6.174299100E-1,3.768667459E0,-1.645512581E-1,-1.523245335E0
6.271443300E-1,3.447038412E0,1.392405987E0,-1.814002037E0
6.370640400E-1,2.494010687E0,1.359325886E0,-2.080461502E0
6.469728950E-1,6.945089698E-1,1.669804573E0,-1.694928646E0
6.569903230E-1,-1.006916389E-1,1.088099003E0,-5.237598419E-1
6.670280370E-1,-6.088551283E-1,3.605117798E-1,4.073495865E-1
6.769718940E-1,-9.305308461E-1,1.772665977E-1,1.356313705E0
6.869428220E-1,-5.524851084E-1,1.524491310E-1,1.936603546E0
6.976917860E-1,9.180587530E-1,5.097341537E-2,2.563620567E0
7.073227680E-1,7.406710386E-1,5.689382553E-2,2.574249268E0
7.172312590E-1,4.721937776E-1,1.873636246E-1,1.918058395E0
7.270670050E-1,-1.247848272E-1,1.458353996E-1,5.752515793E-1
7.370403780E-1,-3.681915998E-1,-7.736921310E-2,6.068706512E-2
7.472160640E-1,-6.872900724E-1,-1.563739777E-1,1.170148849E-1
7.570504070E-1,-9.568575621E-1,-2.473073006E-1,9.211616516E-1
7.669685790E-1,-1.203817129E0,-8.062267303E-2,1.592517853E0
7.769981650E-1,-9.246554375E-1,-3.312067986E-1,2.300583839E0
7.870399580E-1,-7.094376087E-1,-9.505200386E-1,3.044573784E0
7.972073540E-1,-4.954051971E-1,-1.621376514E0,2.768545151E0
8.070710520E-1,-5.476055145E-1,-1.821693897E0,1.428584576E0
8.175654010E-1,-1.002109528E0,-1.674963236E0,6.037807465E-2
8.279180760E-1,-1.609285116E0,-1.082781315E0,-1.552425861E0
8.374049130E-1,-2.229688168E0,-3.664751053E-1,-2.265090466E0
8.471423320E-1,-2.507373333E0,-1.056294441E-1,-2.462276459E0
8.574605410E-1,-2.474213123E0,-3.166880608E-1,-2.488559723E0
8.674901460E-1,-2.233234882E0,-5.966000557E-1,-2.532648087E0
8.773449480E-1,-2.029562712E0,-4.847974777E-1,-2.150520325E0
8.871543490E-1,-1.785834312E0,-3.818554878E-1,-1.732661724E0
8.970020500E-1,-1.504669666E0,-6.791853905E-1,-1.179660797E0
9.069409000E-1,-1.357928753E0,-1.107330799E0,-1.199656963E0
9.170653250E-1,-1.480081081E0,-1.269728661E0,-1.301043034E0
9.269525380E-1,-1.652866364E0,-1.374476433E0,-1.231430531E0
9.373781440E-1,-1.760551453E0,-1.415669918E0,-1.053506374E0
9.471504470E-1,-1.654104710E0,-1.046727180E0,-4.760074615E-1
9.570305990E-1,-1.101466179E0,-1.356287003E-1,-1.037907362E0
9.669316750E-1,1.764359474E-1,2.999000549E-1,-1.856277466E0
9.769017130E-1,3.527450562E-1,-1.040601730E-2,-1.481688261E0
9.874312320E-1,7.434501648E-1,-1.111925602E0,-1.580947876E0
9.971504910E-1,9.046926498E-1,-1.906950474E0,-1.137976408E0
1.007026621E0,6.002316475E-1,-2.258115530E0,-8.698792458E-1
1.016976186E0,-2.356581688E-1,-2.326774597E0,-8.284597397E-1
1.026991468E0,-7.401309013E-1,-2.700292587E0,-1.508541822E0
1.036899609E0,-9.692072868E-1,-2.598738670E0,-2.505991220E0
1.046872680E0,-1.099071503E0,-2.318974257E0,-3.513209581E0
1.057173715E0,-1.124797821E0,-2.090249062E0,-3.983968735E0
1.067050733E0,2.417755127E-2,-2.309728384E0,-3.588583946E0
1.077332742E0,2.971725464E-1,-3.378215790E0,-1.846481323E0
1.087077246E0,3.127279282E-1,-4.414441109E0,-2.234177589E0
1.097281998E0,7.254915237E-1,-4.766653538E0,-3.780749083E0
1.107072874E0,6.554422379E-1,-4.121060371E0,-4.264429092E0
1.117068812E0,6.402101517E-1,-3.309938192E0,-3.443654060E0
1.127239281E0,8.703641891E-1,-2.850488901E0,-2.332740545E0
1.137038016E0,1.698875427E0,-3.162257910E0,-1.721328735E0
1.147786883E0,2.874217033E0,-4.067803860E0,-7.348521352E-1
1.157332317E0,3.957679749E0,-5.069222450E0,4.682172239E-1
1.167111034E0,5.025429726E0,-5.984380722E0,1.426633835E0
1.177608392E0,5.670915604E0,-6.010132790E0,1.900491714E0
1.187230071E0,5.662044525E0,-5.133983135E0,1.518508434E0
1.197708911E0,4.937663078E0,-3.445530415E0,-1.301267266E0
1.207334831E0,4.946089745E0,-3.153976202E0,-1.135058403E0
1.217591791E0,4.144503593E0,-1.774945736E0,-1.284251451E0
1.227936771E0,4.638764381E0,-1.483817577E0,1.362246275E-1
1.237424261E0,4.667257309E0,-1.156510830E0,1.874713898E-1
1.247139006E0,4.971356392E0,-1.201249123E0,1.135330319E0
1.257083378E0,6.048220634E0,-2.016984940E0,1.117943764E0
1.267376564E0,5.747745514E0,-9.599666595E-1,3.654952049E-1
1.277122157E0,4.822195053E0,2.420423031E-1,-5.079699755E-1
1.286970454E0,4.007397652E0,1.266793966E0,-1.120964646E0
1.296945102E0,3.313026428E0,1.850264907E0,-1.632993579E0
1.306933426E0,2.848199844E0,2.097591877E0,-1.793803096E0
1.317485088E0,2.848389626E0,2.289692879E0,-1.043179750E0
1.327210919E0,2.766632080E0,2.148517132E0,2.674573660E-1
1.337507835E0,2.929181099E0,1.787683010E0,4.405529499E-1
1.347191793E0,3.050410271E0,1.657545328E0,8.512193561E-1
1.357081772E0,2.207311630E0,1.872898221E0,6.183049679E-1
1.367063761E0,1.778141975E0,2.089486361E0,-1.429736614E-2
1.376975256E0,1.268736839E0,2.162533760E0,-3.135288060E-1
1.387180503E0,6.102886200E-1,2.047729015E0,-5.845335126E-2
1.397042627E0,-1.640977859E-1,1.709189653E0,-2.176537514E-1
1.406966689E0,-8.590488434E-1,1.600387096E0,-2.026497602E0
1.416940720E0,-1.624232292E0,1.558656216E0,-1.654555321E0
1.426934735E0,-2.369871140E0,1.154379368E0,-2.557664871E0
1.437517243E0,-2.988854885E0,7.200069427E-1,-2.741207838E0
1.447222497E0,-3.398589134E0,3.132765293E-1,-4.188495159E0
1.457134624E0,-3.457564354E0,-1.758961678E-1,-3.928011894E0
1.467647187E0,-3.203172207E0,-6.383748055E-1,-3.243569851E0
1.477364469E0,-2.932441711E0,-1.071246624E0,-2.490661860E0
1.487150610E0,-2.822480679E0,-1.522381306E0,-1.955991507E0
