"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.654519800E-2,1.473399997E-2,-3.415099904E-2,7.528399676E-2
9.152620000E-2,4.109200090E-2,-4.187700152E-2,5.888599902E-2
9.650735200E-2,6.492400169E-2,-4.607899860E-2,4.206499830E-2
1.014883450E-1,8.520200104E-2,-4.695000127E-2,2.714000084E-2
1.064694970E-1,1.012339965E-1,-4.471100122E-2,1.558300015E-2
1.114504990E-1,1.139950007E-1,-3.857799992E-2,7.869999856E-3
1.164316270E-1,1.226079985E-1,-3.086300008E-2,3.934000153E-3
1.214126290E-1,1.273269951E-1,-2.226400003E-2,2.764000092E-3
1.263937810E-1,1.304640025E-1,-1.366099995E-2,5.020999815E-3
1.313749910E-1,1.324629933E-1,-5.311000161E-3,9.762000293E-3
1.363559160E-1,1.346369982E-1,2.391000045E-3,1.668399945E-2
1.413369160E-1,1.364399940E-1,8.616000414E-3,2.637100033E-2
1.463180490E-1,1.380739957E-1,1.378799975E-2,3.807900101E-2
1.512990510E-1,1.384869963E-1,1.747900061E-2,5.204299837E-2
1.562802030E-1,1.384979934E-1,2.023999952E-2,6.659799814E-2
1.612611810E-1,1.385080069E-1,2.270399965E-2,8.098799735E-2
1.662423330E-1,1.390890032E-1,2.403699979E-2,9.486100078E-2
1.712233350E-1,1.401930004E-1,2.299599908E-2,1.125990003E-1
1.762044520E-1,1.440140009E-1,2.465300076E-2,1.228969991E-1
1.811854540E-1,1.478359997E-1,2.815099992E-2,1.260900050E-1
1.861666060E-1,1.516599953E-1,3.401200101E-2,1.238560006E-1
1.911476030E-1,1.553570032E-1,4.080799967E-2,1.162590012E-1
1.961287550E-1,1.589539945E-1,4.688400030E-2,1.036050022E-1
2.011097570E-1,1.627880037E-1,5.212799832E-2,8.792699873E-2
2.060908890E-1,1.666869968E-1,5.510900170E-2,6.912899762E-2
2.110718910E-1,1.721670032E-1,5.672900006E-2,5.032400042E-2
2.160530330E-1,1.768710017E-1,5.802400038E-2,3.246900067E-2
2.210340350E-1,1.812079996E-1,6.021000072E-2,1.754800044E-2
2.260151870E-1,1.835930049E-1,6.285200268E-2,6.887000054E-3
2.309961890E-1,1.829469949E-1,6.598799676E-2,6.580000045E-4
2.359774180E-1,1.798119992E-1,7.022000104E-2,-1.899000024E-3
2.409583380E-1,1.749430001E-1,7.386100292E-2,-6.259999936E-4
2.459394900E-1,1.684290022E-1,7.658199966E-2,3.903999925E-3
2.509204870E-1,1.618770063E-1,7.786600292E-2,8.740999736E-3
2.559016390E-1,1.570190042E-1,7.710500062E-2,1.184399985E-2
2.608826410E-1,1.534519941E-1,7.266499847E-2,1.311499998E-2
2.658637590E-1,1.534709930E-1,6.636799872E-2,1.081100013E-2
2.708447610E-1,1.573169976E-1,5.864899978E-2,5.776000209E-3
2.758259130E-1,1.619260013E-1,5.042999983E-2,-3.040000098E-3
2.808069440E-1,1.677840054E-1,4.232399911E-2,-1.392399985E-2
2.857880950E-1,1.722149998E-1,3.513599932E-2,-2.607900091E-2
2.907690970E-1,1.759520024E-1,2.913000062E-2,-3.925099969E-2
2.957502640E-1,1.788769960E-1,2.547499910E-2,-5.202199891E-2
3.007312660E-1,1.830690056E-1,2.465800010E-2,-6.358099729E-2
3.057124220E-1,1.864860058E-1,2.547200024E-2,-7.110399753E-2
3.106934240E-1,1.894749999E-1,2.778399922E-2,-7.635600120E-2
3.156745760E-1,1.929520071E-1,3.161200136E-2,-8.094099909E-2
3.206555830E-1,1.963080019E-1,3.544100001E-2,-8.499199897E-2
3.256368120E-1,1.991840005E-1,3.856800124E-2,-8.740200102E-2
3.306177370E-1,2.025070041E-1,4.081400111E-2,-8.786199987E-2
3.355989850E-1,2.063779980E-1,4.120599851E-2,-8.739899844E-2
3.405799100E-1,2.099220008E-1,3.909400105E-2,-8.632799983E-2
3.455610620E-1,2.112880051E-1,3.542499989E-2,-8.310800046E-2
3.505422920E-1,2.105299979E-1,2.993500046E-2,-7.823400199E-2
3.555232940E-1,2.076890022E-1,2.369300090E-2,-6.980200112E-2
3.605042230E-1,2.036280036E-1,1.748600043E-2,-5.820399895E-2
3.654854510E-1,1.987839937E-1,9.391999803E-3,-4.241300002E-2
3.704666050E-1,1.908220053E-1,-1.041000010E-3,-2.052300051E-2
3.754476070E-1,1.808770001E-1,-1.238800026E-2,4.586999770E-3
3.804287590E-1,1.692820042E-1,-2.517000027E-2,3.233600035E-2
3.854096840E-1,1.559199989E-1,-3.935299814E-2,6.034500152E-2
3.903906630E-1,1.424210072E-1,-5.395599827E-2,8.658300340E-2
3.953718940E-1,1.297059953E-1,-6.870199740E-2,1.102550030E-1
4.003530480E-1,1.177470013E-1,-8.356499672E-2,1.302780062E-1
4.053340360E-1,1.062640026E-1,-9.730599821E-2,1.477009952E-1
4.103151880E-1,9.548199922E-2,-1.091919988E-1,1.594049931E-1
4.152961900E-1,8.187600225E-2,-1.181270033E-1,1.656389982E-1
4.202771270E-1,6.582000107E-2,-1.245089993E-1,1.678819954E-1
4.252583560E-1,5.137899891E-2,-1.260389984E-1,1.671220064E-1
4.302395090E-1,3.899599984E-2,-1.236239970E-1,1.611510068E-1
4.352205110E-1,2.717499994E-2,-1.195209995E-1,1.526709944E-1
4.402016630E-1,1.510000043E-2,-1.131099984E-1,1.421850026E-1
4.451826650E-1,1.800999977E-3,-1.058750004E-1,1.284960061E-1
4.501638940E-1,-1.330699958E-2,-9.868200123E-2,1.094990000E-1
4.551448190E-1,-2.769199945E-2,-9.324699640E-2,8.498100191E-2
4.601259560E-1,-4.079600051E-2,-9.087800235E-2,5.955699831E-2
4.651071870E-1,-5.351499841E-2,-8.936599642E-2,3.723999858E-2
4.700881120E-1,-6.611499935E-2,-8.879499882E-2,1.887400076E-2
4.750690980E-1,-7.894100249E-2,-8.961500227E-2,5.841999780E-3
4.800502500E-1,-9.335099906E-2,-9.110199660E-2,-2.093000105E-3
4.850312620E-1,-1.092209965E-1,-9.305600077E-2,-6.525999866E-3
4.900124140E-1,-1.261949986E-1,-9.379000217E-2,-6.498000119E-3
4.949934160E-1,-1.433490068E-1,-9.201399982E-2,-3.409999888E-3
4.999745380E-1,-1.604560018E-1,-8.772099763E-2,8.449999732E-4
5.049555400E-1,-1.773349941E-1,-8.096700162E-2,6.870000158E-3
5.099366920E-1,-1.942210048E-1,-7.441399992E-2,1.532800030E-2
5.149176740E-1,-2.096450031E-1,-6.661800295E-2,2.426600084E-2
5.198988260E-1,-2.222400010E-1,-5.725299940E-2,3.058500029E-2
5.248798280E-1,-2.317409962E-1,-4.944099858E-2,3.736399859E-2
5.298609610E-1,-2.383210063E-1,-4.255300015E-2,4.419400170E-2
5.348419630E-1,-2.418600023E-1,-3.736300021E-2,5.201900005E-2
5.398231150E-1,-2.439260036E-1,-3.091200069E-2,6.166199967E-2
5.448040830E-1,-2.426420003E-1,-2.511299960E-2,7.314399630E-2
5.497852350E-1,-2.388689965E-1,-1.964299940E-2,8.520200104E-2
5.547662230E-1,-2.324029952E-1,-1.501100045E-2,9.389200062E-2
5.597473750E-1,-2.223780006E-1,-1.149799954E-2,9.969499707E-2
5.647283770E-1,-2.051640004E-1,-1.028299984E-2,1.028039977E-1
5.697095340E-1,-1.854559928E-1,-1.129100006E-2,1.011399999E-1
5.746905360E-1,-1.671990007E-1,-1.490699966E-2,9.482999891E-2
5.796716870E-1,-1.508059949E-1,-2.080000006E-2,8.729299903E-2
5.846526940E-1,-1.333499998E-1,-2.666400000E-2,7.711400092E-2
5.896338460E-1,-1.149799973E-1,-3.218499944E-2,6.456299871E-2
5.946148480E-1,-9.434600174E-2,-3.755899891E-2,5.254499987E-2
5.995959990E-1,-7.139000297E-2,-4.205000028E-2,4.324999824E-2
6.045770010E-1,-4.811000079E-2,-4.398300126E-2,3.759900108E-2
6.095581530E-1,-2.686800063E-2,-4.291199893E-2,3.301699832E-2
6.145391700E-1,-8.789000101E-3,-4.128900170E-2,2.762600034E-2
6.195203220E-1,6.949999835E-3,-3.845800087E-2,2.203699946E-2
6.245013240E-1,1.998900063E-2,-3.446999937E-2,1.296900027E-2
6.294824610E-1,3.303800151E-2,-2.866099961E-2,8.629999938E-4
6.344634630E-1,4.558400065E-2,-1.935300045E-2,-1.188699994E-2
6.394446150E-1,5.881299824E-2,-8.523000404E-3,-2.502400056E-2
6.444255880E-1,7.195000350E-2,2.119000070E-3,-3.859899938E-2
6.494067400E-1,8.437500149E-2,1.203799993E-2,-5.054299906E-2
6.543877420E-1,9.763500094E-2,2.074000053E-2,-6.207799911E-2
6.593689560E-1,1.086260006E-1,2.814799920E-2,-7.424300164E-2
6.643498810E-1,1.170990020E-1,3.362699971E-2,-8.563400060E-2
6.693311100E-1,1.240700036E-1,3.647800162E-2,-9.653600305E-2
6.743120060E-1,1.296460032E-1,3.875999898E-2,-1.076190025E-1
6.792931580E-1,1.337240040E-1,4.064799845E-2,-1.193590015E-1
6.842741600E-1,1.374340057E-1,4.349999875E-2,-1.290069968E-1
